"TRACT","YEAR","NPOS_SUM"
"36067000100","2002","0"
"36067000200","2002","0"
"36067000300","2002","0"
"36067000400","2002","0"
"36067000501","2002","0"
"36067000600","2002","0"
"36067000800","2002","0"
"36067000900","2002","0"
"36067001000","2002","0"
"36067001500","2002","0"
"36067001600","2002","0"
"36067001702","2002","0"
"36067001800","2002","0"
"36067001900","2002","0"
"36067002000","2002","0"
"36067002101","2002","0"
"36067002300","2002","0"
"36067002400","2002","0"
"36067002700","2002","0"
"36067002901","2002","0"
"36067003000","2002","0"
"36067003200","2002","1"
"36067003400","2002","0"
"36067003500","2002","0"
"36067003601","2002","0"
"36067003602","2002","0"
"36067003800","2002","0"
"36067003900","2002","0"
"36067004000","2002","0"
"36067004200","2002","0"
"36067004301","2002","0"
"36067004302","2002","0"
"36067004400","2002","0"
"36067004500","2002","0"
"36067004600","2002","0"
"36067004800","2002","0"
"36067004900","2002","0"
"36067005000","2002","0"
"36067005100","2002","0"
"36067005200","2002","0"
"36067005300","2002","0"
"36067005400","2002","0"
"36067005500","2002","0"
"36067005601","2002","0"
"36067005602","2002","0"
"36067005700","2002","0"
"36067005800","2002","0"
"36067005900","2002","0"
"36067006000","2002","0"
"36067006101","2002","0"
"36067006102","2002","0"
"36067006103","2002","0"
"36067000100","2006","0"
"36067000200","2006","0"
"36067000300","2006","0"
"36067000400","2006","0"
"36067000501","2006","0"
"36067000600","2006","0"
"36067000800","2006","0"
"36067000900","2006","0"
"36067001000","2006","0"
"36067001500","2006","0"
"36067001600","2006","0"
"36067001702","2006","0"
"36067001800","2006","0"
"36067001900","2006","0"
"36067002000","2006","0"
"36067002101","2006","0"
"36067002300","2006","0"
"36067002400","2006","0"
"36067002700","2006","0"
"36067002901","2006","0"
"36067003000","2006","0"
"36067003200","2006","2"
"36067003400","2006","1"
"36067003500","2006","0"
"36067003601","2006","0"
"36067003602","2006","0"
"36067003800","2006","0"
"36067003900","2006","0"
"36067004000","2006","0"
"36067004200","2006","0"
"36067004301","2006","0"
"36067004302","2006","0"
"36067004400","2006","0"
"36067004500","2006","0"
"36067004600","2006","0"
"36067004800","2006","0"
"36067004900","2006","0"
"36067005000","2006","0"
"36067005100","2006","0"
"36067005200","2006","0"
"36067005300","2006","0"
"36067005400","2006","0"
"36067005500","2006","0"
"36067005601","2006","0"
"36067005602","2006","0"
"36067005700","2006","0"
"36067005800","2006","0"
"36067005900","2006","0"
"36067006000","2006","0"
"36067006101","2006","0"
"36067006102","2006","0"
"36067006103","2006","0"
"36067000100","2011","0"
"36067000200","2011","0"
"36067000300","2011","0"
"36067000400","2011","0"
"36067000501","2011","0"
"36067000600","2011","0"
"36067000800","2011","0"
"36067000900","2011","0"
"36067001000","2011","0"
"36067001500","2011","0"
"36067001600","2011","0"
"36067001702","2011","0"
"36067001800","2011","0"
"36067001900","2011","0"
"36067002000","2011","0"
"36067002101","2011","0"
"36067002300","2011","0"
"36067002400","2011","0"
"36067002700","2011","0"
"36067002901","2011","0"
"36067003000","2011","0"
"36067003200","2011","3"
"36067003400","2011","2"
"36067003500","2011","0"
"36067003601","2011","0"
"36067003602","2011","0"
"36067003800","2011","0"
"36067003900","2011","0"
"36067004000","2011","0"
"36067004200","2011","0"
"36067004301","2011","0"
"36067004302","2011","0"
"36067004400","2011","0"
