"TRACT","NPO_SECTOR","NEW_NPOS"
"36067000100","AR",3
"36067000200","AR",0
"36067000300","AR",0
"36067000400","AR",0
"36067000501","AR",1
"36067000600","AR",0
"36067000800","AR",0
"36067000900","AR",1
"36067001000","AR",2
"36067001500","AR",0
"36067001600","AR",3
"36067001702","AR",0
"36067001800","AR",1
"36067001900","AR",0
"36067002000","AR",0
"36067002101","AR",0
"36067002300","AR",0
"36067002400","AR",1
"36067002700","AR",0
"36067002901","AR",0
"36067003000","AR",5
"36067003200","AR",18
"36067003400","AR",4
"36067003500","AR",5
"36067003601","AR",0
"36067003602","AR",0
"36067003800","AR",0
"36067003900","AR",0
"36067004000","AR",0
"36067004200","AR",0
"36067004301","AR",0
"36067004302","AR",6
"36067004400","AR",1
"36067004500","AR",5
"36067004600","AR",3
"36067004800","AR",0
"36067004900","AR",0
"36067005000","AR",1
"36067005100","AR",0
"36067005200","AR",0
"36067005300","AR",0
"36067005400","AR",1
"36067005500","AR",1
"36067005601","AR",0
"36067005602","AR",1
"36067005700","AR",0
"36067005800","AR",0
"36067005900","AR",0
"36067006000","AR",0
"36067006101","AR",1
"36067006102","AR",0
"36067006103","AR",4
"36067000100","BH",0
"36067000200","BH",0
"36067000300","BH",0
"36067000400","BH",0
"36067000501","BH",0
"36067000600","BH",0
"36067000800","BH",0
"36067000900","BH",0
"36067001000","BH",0
"36067001500","BH",0
"36067001600","BH",0
"36067001702","BH",0
"36067001800","BH",0
"36067001900","BH",0
"36067002000","BH",0
"36067002101","BH",0
"36067002300","BH",0
"36067002400","BH",0
"36067002700","BH",0
"36067002901","BH",0
"36067003000","BH",0
"36067003200","BH",0
"36067003400","BH",0
"36067003500","BH",0
"36067003601","BH",0
"36067003602","BH",0
"36067003800","BH",0
"36067003900","BH",0
"36067004000","BH",0
"36067004200","BH",0
"36067004301","BH",0
"36067004302","BH",1
"36067004400","BH",0
"36067004500","BH",0
"36067004600","BH",0
"36067004800","BH",0
"36067004900","BH",0
"36067005000","BH",0
"36067005100","BH",0
"36067005200","BH",0
"36067005300","BH",0
"36067005400","BH",0
"36067005500","BH",1
"36067005601","BH",0
"36067005602","BH",0
"36067005700","BH",0
"36067005800","BH",0
"36067005900","BH",0
"36067006000","BH",0
"36067006101","BH",0
"36067006102","BH",0
"36067006103","BH",0
"36067000100","ED",3
"36067000200","ED",1
"36067000300","ED",0
"36067000400","ED",0
"36067000501","ED",1
"36067000600","ED",0
"36067000800","ED",0
"36067000900","ED",1
"36067001000","ED",2
"36067001500","ED",0
"36067001600","ED",5
"36067001702","ED",3
"36067001800","ED",1
"36067001900","ED",0
"36067002000","ED",0
"36067002101","ED",1
"36067002300","ED",2
"36067002400","ED",0
"36067002700","ED",0
"36067002901","ED",2
"36067003000","ED",2
"36067003200","ED",8
"36067003400","ED",2
"36067003500","ED",5
"36067003601","ED",0
"36067003602","ED",0
"36067003800","ED",2
"36067003900","ED",0
"36067004000","ED",0
"36067004200","ED",1
"36067004301","ED",3
"36067004302","ED",11
"36067004400","ED",0
"36067004500","ED",0
"36067004600","ED",8
"36067004800","ED",1
"36067004900","ED",0
"36067005000","ED",0
"36067005100","ED",0
"36067005200","ED",0
"36067005300","ED",0
"36067005400","ED",1
"36067005500","ED",0
"36067005601","ED",1
"36067005602","ED",0
"36067005700","ED",4
"36067005800","ED",0
"36067005900","ED",0
"36067006000","ED",1
"36067006101","ED",0
"36067006102","ED",0
"36067006103","ED",0
"36067000100","EH",1
"36067000200","EH",0
"36067000300","EH",0
"36067000400","EH",0
"36067000501","EH",0
"36067000600","EH",0
"36067000800","EH",0
"36067000900","EH",0
"36067001000","EH",0
"36067001500","EH",0
"36067001600","EH",0
"36067001702","EH",0
"36067001800","EH",0
"36067001900","EH",0
"36067002000","EH",0
"36067002101","EH",0
"36067002300","EH",2
"36067002400","EH",0
"36067002700","EH",0
"36067002901","EH",0
"36067003000","EH",0
"36067003200","EH",1
"36067003400","EH",0
"36067003500","EH",0
"36067003601","EH",1
"36067003602","EH",0
"36067003800","EH",0
"36067003900","EH",0
"36067004000","EH",0
"36067004200","EH",0
"36067004301","EH",1
"36067004302","EH",0
"36067004400","EH",0
"36067004500","EH",0
"36067004600","EH",0
"36067004800","EH",0
"36067004900","EH",0
"36067005000","EH",0
"36067005100","EH",0
"36067005200","EH",0
"36067005300","EH",0
"36067005400","EH",0
"36067005500","EH",0
"36067005601","EH",0
"36067005602","EH",0
"36067005700","EH",0
"36067005800","EH",0
"36067005900","EH",0
"36067006000","EH",0
"36067006101","EH",0
"36067006102","EH",0
"36067006103","EH",0
"36067000100","EN",4
"36067000200","EN",0
"36067000300","EN",0
"36067000400","EN",1
"36067000501","EN",0
"36067000600","EN",0
"36067000800","EN",0
"36067000900","EN",0
"36067001000","EN",0
"36067001500","EN",0
"36067001600","EN",0
"36067001702","EN",0
"36067001800","EN",0
"36067001900","EN",0
"36067002000","EN",0
"36067002101","EN",0
"36067002300","EN",0
"36067002400","EN",0
"36067002700","EN",0
"36067002901","EN",2
"36067003000","EN",1
"36067003200","EN",3
"36067003400","EN",1
"36067003500","EN",3
"36067003601","EN",2
"36067003602","EN",0
"36067003800","EN",0
"36067003900","EN",2
"36067004000","EN",0
"36067004200","EN",0
"36067004301","EN",0
"36067004302","EN",0
"36067004400","EN",0
"36067004500","EN",0
"36067004600","EN",1
"36067004800","EN",0
"36067004900","EN",1
"36067005000","EN",0
"36067005100","EN",0
"36067005200","EN",0
"36067005300","EN",0
"36067005400","EN",0
"36067005500","EN",0
"36067005601","EN",0
"36067005602","EN",0
"36067005700","EN",0
"36067005800","EN",0
"36067005900","EN",0
"36067006000","EN",1
"36067006101","EN",0
"36067006102","EN",0
"36067006103","EN",0
"36067000100","HE",5
"36067000200","HE",0
"36067000300","HE",1
"36067000400","HE",0
"36067000501","HE",0
"36067000600","HE",0
"36067000800","HE",0
"36067000900","HE",0
"36067001000","HE",2
"36067001500","HE",0
"36067001600","HE",7
"36067001702","HE",0
"36067001800","HE",0
"36067001900","HE",1
"36067002000","HE",1
"36067002101","HE",6
"36067002300","HE",6
"36067002400","HE",0
"36067002700","HE",0
"36067002901","HE",0
"36067003000","HE",2
"36067003200","HE",8
"36067003400","HE",1
"36067003500","HE",0
"36067003601","HE",0
"36067003602","HE",0
"36067003800","HE",0
"36067003900","HE",0
"36067004000","HE",0
"36067004200","HE",4
"36067004301","HE",12
"36067004302","HE",3
"36067004400","HE",0
"36067004500","HE",0
"36067004600","HE",4
"36067004800","HE",0
"36067004900","HE",0
"36067005000","HE",0
"36067005100","HE",1
"36067005200","HE",0
"36067005300","HE",0
"36067005400","HE",0
"36067005500","HE",0
"36067005601","HE",0
"36067005602","HE",0
"36067005700","HE",0
"36067005800","HE",0
"36067005900","HE",1
"36067006000","HE",0
"36067006101","HE",9
"36067006102","HE",1
"36067006103","HE",0
"36067000100","HU",8
"36067000200","HU",1
"36067000300","HU",1
"36067000400","HU",4
"36067000501","HU",2
"36067000600","HU",1
"36067000800","HU",1
"36067000900","HU",3
"36067001000","HU",3
"36067001500","HU",1
"36067001600","HU",63
"36067001702","HU",1
"36067001800","HU",0
"36067001900","HU",2
"36067002000","HU",1
"36067002101","HU",4
"36067002300","HU",1
"36067002400","HU",1
"36067002700","HU",1
"36067002901","HU",5
"36067003000","HU",1
"36067003200","HU",24
"36067003400","HU",3
"36067003500","HU",11
"36067003601","HU",3
"36067003602","HU",1
"36067003800","HU",6
"36067003900","HU",2
"36067004000","HU",3
"36067004200","HU",7
"36067004301","HU",1
"36067004302","HU",4
"36067004400","HU",0
"36067004500","HU",3
"36067004600","HU",7
"36067004800","HU",0
"36067004900","HU",1
"36067005000","HU",2
"36067005100","HU",0
"36067005200","HU",4
"36067005300","HU",3
"36067005400","HU",1
"36067005500","HU",0
"36067005601","HU",1
"36067005602","HU",1
"36067005700","HU",2
"36067005800","HU",0
"36067005900","HU",1
"36067006000","HU",2
"36067006101","HU",15
"36067006102","HU",0
"36067006103","HU",3
"36067000100","IN",0
"36067000200","IN",0
"36067000300","IN",0
"36067000400","IN",0
"36067000501","IN",0
"36067000600","IN",0
"36067000800","IN",0
"36067000900","IN",0
"36067001000","IN",1
"36067001500","IN",0
"36067001600","IN",2
