"TRACT","Arts_Culture","Education_Higher","Education","Hospitals","Environment","Health","Human Services","International","Mutual_Benefit","Public_Societal_Benefit","Religion"
"36067000100",3,0,3,1,4,5,8,0,0,6,1
"36067000200",0,0,1,0,0,0,1,0,0,0,1
"36067000300",0,0,0,0,0,1,1,0,0,0,0
"36067000400",0,0,0,0,1,0,4,0,0,0,1
"36067000501",1,0,1,0,0,0,2,0,0,0,1
"36067000600",0,0,0,0,0,0,1,0,0,0,0
"36067000800",0,0,0,0,0,0,1,0,0,0,1
"36067000900",1,0,1,0,0,0,3,0,0,1,0
"36067001000",2,0,2,0,0,2,3,1,0,2,0
"36067001500",0,0,0,0,0,0,1,0,0,0,0
"36067001600",3,0,5,0,0,7,63,2,0,9,5
"36067001702",0,0,3,0,0,0,1,0,0,1,0
"36067001800",1,0,1,0,0,0,0,0,0,1,0
"36067001900",0,0,0,0,0,1,2,0,0,2,0
"36067002000",0,0,0,0,0,1,1,0,0,0,0
"36067002101",0,0,1,0,0,6,4,0,0,2,1
"36067002300",0,0,2,2,0,6,1,0,0,4,0
"36067002400",1,0,0,0,0,0,1,0,0,1,0
"36067002700",0,0,0,0,0,0,1,0,0,0,0
"36067002901",0,0,2,0,2,0,5,0,0,2,0
"36067003000",5,0,2,0,1,2,1,0,0,1,0
"36067003200",18,0,8,1,3,8,24,1,1,29,3
"36067003400",4,0,2,0,1,1,3,0,0,2,1
"36067003500",5,0,5,0,3,0,11,3,0,4,0
"36067003601",0,0,0,1,2,0,3,0,0,1,0
"36067003602",0,0,0,0,0,0,1,0,0,1,0
"36067003800",0,0,2,0,0,0,6,0,0,0,1
"36067003900",0,0,0,0,2,0,2,0,0,1,0
"36067004000",0,0,0,0,0,0,3,0,0,0,1
"36067004200",0,0,1,0,0,4,7,0,0,2,0
"36067004301",0,0,3,1,0,12,1,0,0,4,0
"36067004302",6,1,11,0,0,3,4,1,0,8,1
"36067004400",1,0,0,0,0,0,0,0,0,2,0
"36067004500",5,0,0,0,0,0,3,0,0,3,0
"36067004600",3,0,8,0,1,4,7,0,0,2,2
"36067004800",0,0,1,0,0,0,0,0,0,0,0
"36067004900",0,0,0,0,1,0,1,0,0,0,0
"36067005000",1,0,0,0,0,0,2,0,0,3,2
"36067005100",0,0,0,0,0,1,0,0,0,1,0
"36067005200",0,0,0,0,0,0,4,0,0,0,1
"36067005300",0,0,0,0,0,0,3,0,0,2,1
"36067005400",1,0,1,0,0,0,1,0,0,4,0
"36067005500",1,1,0,0,0,0,0,0,0,0,1
"36067005601",0,0,1,0,0,0,1,0,0,0,1
"36067005602",1,0,0,0,0,0,1,0,0,0,0
"36067005700",0,0,4,0,0,0,2,0,0,1,0
"36067005800",0,0,0,0,0,0,0,0,0,0,1
"36067005900",0,0,0,0,0,1,1,0,0,0,0
"36067006000",0,0,1,0,1,0,2,0,0,1,0
"36067006101",1,0,0,0,0,9,15,0,1,1,1
"36067006102",0,0,0,0,0,1,0,0,0,0,0
"36067006103",4,0,0,0,0,0,3,0,0,4,3
"Total",68,2,72,6,22,75,216,8,2,108,31
