"","TRACT","YEAR","PER_TOT_FRQ","PER_TOT_VAL","PER_RES_FRQ","PER_RES_VAL","PER_COM_FRQ","PER_COM_VAL","PER_INS_FRQ","PER_INS_VAL"
"1",1,2012,499,42562448,1,3500,106,31122831,387,11302117
"2",1,2013,414,23368067,1,7000,73,14709629,331,8571938
"3",1,2014,282,35751034.39,1,15000,62,30826792,214,4843742.39
"4",1,2015,245,16179886.81,1,20000,43,7337800,199,8791086.81
"5",1,2016,228,44155082.46,NA,NA,39,34432389,184,9613693.46
"6",10,2012,98,3064692,8,51600,13,2255000,75,740592
"7",10,2013,71,718981.35,12,39700,5,437000,53,241281.35
"8",10,2014,63,496697.99,16,130239,2,108000,44,257458.99
"9",10,2015,52,219610,17,57740,3,23000,32,138870
"10",10,2016,55,259220,6,106300,2,13000,47,139920
"11",14,2012,39,104652,4,8500,6,23400,26,55852
"12",14,2013,34,145812,5,40500,4,9800,23,84612
"13",14,2014,49,201471.16,9,15600,1,2000,36,95571.16
"14",14,2015,37,132564.99,8,31000,1,5000,24,40764.99
"15",14,2016,31,211073.92,9,69790,NA,NA,18,91703.92
"16",15,2012,27,112849,1,26900,3,19065,22,66384
"17",15,2013,28,75936,4,7400,2,18500,22,50036
"18",15,2014,28,87176.78,3,12400,2,20000,22,43276.78
"19",15,2015,49,339698,11,78950,1,57000,32,134348
"20",15,2016,26,96168,7,54300,NA,NA,18,31868
"21",16,2012,66,3539486,5,60500,10,1621500,51,1857486
"22",16,2013,64,3174321,7,24500,4,1290500,52,1859121
"23",16,2014,58,2209013.2,3,228502,10,791460,44,1172051.2
"24",16,2015,70,4935980,4,28500,13,2726476,51,2116454
"25",16,2016,25,805918.53,NA,NA,2,50285,22,664633.53
"26",17.01,2012,44,482299,16,307665,2,26886,24,137948
"27",17.01,2013,47,185561,10,38070,NA,NA,36,145491
"28",17.01,2014,32,131963,15,46100,1,7000,14,38863
"29",17.01,2015,43,323750,10,143300,1,7000,29,99450
"30",17.01,2016,29,91831.46,6,17500,NA,NA,22,64331.46
"31",17.02,2012,35,91739,7,31100,1,9500,27,51139
"32",17.02,2013,46,140452,15,70100,NA,NA,30,65852
"33",17.02,2014,50,185029.51,10,77400,2,2400,33,60739.51
"34",17.02,2015,45,165220,7,43890,NA,NA,34,87150
"35",17.02,2016,33,112255,10,28800,2,21000,20,51155
"36",18,2012,39,500756,7,269000,4,168100,27,49656
"37",18,2013,60,252114,18,94300,2,5200,40,152614
"38",18,2014,59,160127.36,11,49100,3,16500,44,94027.36
"39",18,2015,60,336477.02,21,186236,NA,NA,39,150241.02
"40",18,2016,41,137911,14,74050,NA,NA,27,63861
"41",19,2012,77,869617,10,73700,2,479250,61,310067
"42",19,2013,76,279946,13,106818,1,3000,61,169128
"43",19,2014,58,242642.69,16,69070,NA,NA,41,173572.69
"44",19,2015,72,247538,19,122233,NA,NA,53,125305
"45",19,2016,62,281020,16,50972,NA,NA,45,217048
"46",2,2012,61,854083,4,32000,5,64000,52,758083
"47",2,2013,60,338801,9,50000,1,143190,49,130311
"48",2,2014,57,248242.71,6,24800,3,17355,42,141632.71
"49",2,2015,74,392163,22,82851,4,76784,41,93292
"50",2,2016,38,262499,7,30400,3,95500,21,34199
"51",20,2012,28,126578,4,49300,1,3500,23,73778
"52",20,2013,32,111190.67,6,23000,2,6500,24,81690.67
"53",20,2014,32,298475.99,5,13400,3,169000,21,47275.99
"54",20,2015,30,3494014,8,65400,3,3259000,17,48114
"55",20,2016,29,2204204,4,35351,2,32690,22,2121163
"56",21.01,2012,77,1477413,8,375600,9,808171,56,229642
"57",21.01,2013,115,4261728,4,127200,13,2995065,89,995463
"58",21.01,2014,106,3227094.8,6,24900,12,1254994,78,1505800.8
"59",21.01,2015,131,6859523.56,12,60000,21,4013870,86,2351548.56
"60",21.01,2016,74,10344616.36,9,71500,13,8046036,46,2115670.36
"61",21.01,NA,1,150000,NA,NA,NA,NA,1,150000
"62",23,2012,58,23544133,2,3460,6,2304000,48,21213173
"63",23,2013,75,17327556,1,2000,14,4451066,58,12840990
"64",23,2014,58,3680606.58,7,546493,11,1213000,35,1848613.58
"65",23,2015,61,1940732.53,2,15500,13,1086760,43,716872.53
"66",23,2016,40,1731133,1,6000,4,925364,34,708769
"67",24,2012,35,155297,4,23900,5,42000,24,76497
"68",24,2013,29,106402,5,23800,NA,NA,22,68702
"69",24,2014,20,98567.05,3,19700,3,21850,13,38017.05
"70",24,2015,39,232648,7,59500,3,44260,22,69649
"71",24,2016,42,250792,6,41250,6,57000,25,78955
"72",27,2012,32,191766,6,25850,5,127100,20,38316
"73",27,2013,25,379077,7,308149,1,800,16,69128
"74",27,2014,32,287449,8,32400,3,177000,19,60549
"75",27,2015,32,278467,6,26200,2,62000,24,190267
"76",27,2016,43,1781786.65,10,76378,3,962500,30,742908.65
"77",29.01,2012,63,260197,9,33400,8,85100,43,130697
"78",29.01,2013,69,3587235.84,13,115024,3,2235144,52,1235717.84
"79",29.01,2014,60,934854.53,19,146583,3,278200,36,499321.53
"80",29.01,2015,57,943380.37,12,60700,5,484100,35,381030.37
"81",29.01,2016,52,489633,9,254400,3,9500,35,171358
"82",3,2012,30,143971,6,16500,1,82000,23,45471
"83",3,2013,34,107298,6,26220,NA,NA,28,81078
"84",3,2014,23,117933,6,63220,NA,NA,16,39713
"85",3,2015,21,64018.98,9,27200,NA,NA,12,36818.98
"86",3,2016,32,161232,7,46000,NA,NA,24,103532
"87",30,2012,90,2607293,8,423500,6,671000,73,1498093
"88",30,2013,68,6030241,5,90100,6,4109100,49,1650341
"89",30,2014,82,12311701.68,10,201500,10,7883001,54,3927550.68
"90",30,2015,59,3814829.25,4,13238,8,3495000,43,257141.25
"91",30,2016,34,1122187,4,32000,3,344000,25,721787
"92",32,2012,214,35515262,NA,NA,35,23999225,179,11516037
"93",32,2013,267,20903539.49,NA,NA,46,12309791,220,8388748.49
"94",32,2014,300,15269051.79,NA,NA,54,8829371,246,6439680.79
"95",32,2015,293,65014623.41,NA,NA,77,45242599.96,215,19736023.45
"96",32,2016,242,40484252.1,NA,NA,54,28266557,185,11608695.1
"97",32,NA,6,47709.56,1,500,NA,NA,5,47209.56
"98",34,2012,92,9333446,2,1300,15,5309800,66,3629356
"99",34,2013,93,3601236,2,13000,16,711800,72,2641436
"100",34,2014,59,3450379.72,NA,NA,9,2170343,48,1257361.72
"101",34,2015,74,16597167.75,2,18905,11,12946890,60,3581372.75
"102",34,2016,53,2284125.13,1,1500,10,1023560,40,1201065.13
"103",34,NA,19,325150,NA,NA,8,255325,11,69825
"104",35,2012,66,7926143,5,108800,5,6517691,54,1057652
"105",35,2013,57,1933484.92,4,17000,7,231584,46,1684900.92
"106",35,2014,80,1557462.35,11,379700,8,421000,58,741987.35
"107",35,2015,51,616648,6,6500,5,67500,39,526648
"108",35,2016,41,4788138,17,124698,3,4306940,20,356500
