"","TRACT","YEAR","RATING","REVIEWS","PRICE","ESTABLISHMENTS","BARS","RESTAURANTS","STARS_4_5","STARS_3_4","STARS_2_3","STARS_1_2","STARS_0_1"
"1","36067012100",2017,4.2,3,NA,2,NA,2,1,1,NA,NA,NA
"2","36067012200",2017,1.6875,12,NA,2,NA,2,NA,1,NA,NA,1
"3","36067012300",2017,3.71031746033333,7,NA,3,NA,3,1,1,1,NA,NA
"4","36067012400",2017,3.1171693023,19,NA,20,NA,20,5,9,2,1,3
"5","36067012700",2017,2.162037037,4.16666666666667,NA,6,NA,6,1,1,2,1,1
"6","36067012500",2017,2.1833333334,5.6,NA,5,NA,5,2,NA,1,NA,2
"7","36067012600",2017,2.8547619048,8,NA,5,3,3,2,1,NA,1,1
"8","36067010100",2017,3.888888889,11,8,3,3,2,2,1,NA,NA,NA
"9","36067010200",2017,0,0,NA,1,0,NA,NA,NA,NA,NA,1
"10","36067004302",2017,2.27074859203125,16.84375,NA,32,71,28,3,12,6,2,9
"11","36067004301",2017,2.85532879814286,22.8571428571429,NA,7,97,5,1,3,2,NA,1
"12","36067002101",2017,0.598484848533333,3.13333333333333,NA,15,12,13,1,1,NA,1,12
"13","36067013701",2017,1.914771965375,17.8125,NA,16,NA,16,2,5,2,NA,7
"14","36067000501",2017,2.46548563872222,24.3888888888889,NA,18,2,15,6,4,1,NA,7
"15","36067002901",2017,3.2569444445,12.3333333333333,NA,6,62,3,2,2,1,NA,1
"16","36067015601",2017,1.83333333333333,1,NA,3,1,2,NA,1,1,NA,1
"17","36067010301",2017,2.75525788836364,12.6363636363636,NA,11,0,10,2,5,2,NA,2
"18","36067010400",2017,5,2,NA,1,NA,1,1,NA,NA,NA,NA
"19","36067010500",2017,3.1773076924,26.2,8.6,5,NA,5,2,2,NA,1,NA
"20","36067010600",2017,2.9616161615,9,NA,6,2,5,3,NA,2,NA,1
"21","36067010700",2017,3.04056629877778,20.3333333333333,NA,9,NA,9,3,4,NA,NA,2
"22","36067010900",2017,3.6519106958,50.8,8.6,5,46,4,NA,5,NA,NA,NA
"23","36067011012",2017,0,0,NA,1,NA,1,NA,NA,NA,NA,1
"24","36067011022",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","36067011101",2017,3.097899475625,23.75,NA,8,NA,8,3,2,1,1,1
"26","36067011102",2017,3.52293902185714,29.1428571428571,NA,7,NA,7,3,3,NA,NA,1
"27","36067011201",2017,3.409090909,66,9.5,1,NA,1,NA,1,NA,NA,NA
"28","36067011241",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","36067011202",2017,3.3257596374,21.6,9.5,5,21,4,NA,4,1,NA,NA
"30","36067011021",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","36067011300",2017,3.112599206375,7.875,NA,8,NA,8,1,3,4,NA,NA
"32","36067010800",2017,2.44753087164286,11.4285714285714,NA,14,2,13,4,2,4,NA,4
"33","36067014300",2017,2.7400816994,8.53333333333333,NA,15,15,14,4,5,2,NA,4
"34","36067014400",2017,2.24318057860606,23.3939393939394,NA,33,2,31,6,8,5,6,8
"35","36067014500",2017,1.68455743877778,7.33333333333333,NA,9,59,8,2,1,1,NA,5
"36","36067014600",2017,2.53463775212121,24.6969696969697,NA,33,8,31,4,12,7,3,7
"37","36067014700",2017,3.29702852808333,22.8333333333333,NA,12,NA,12,5,4,2,NA,1
"38","36067014800",2017,3.8,5,9.5,1,NA,1,NA,1,NA,NA,NA
"39","36067014900",2017,4.500877193,26.3333333333333,8,3,NA,3,2,1,NA,NA,NA
"40","36067012000",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","36067016902",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","36067012800",2017,2.01419895884615,6.69230769230769,NA,13,0,10,4,2,NA,NA,7
"43","36067013200",2017,1.7830882353,9.6,NA,10,NA,10,1,3,NA,2,4
"44","36067013100",2017,2.5,0.5,NA,2,NA,2,1,NA,NA,NA,1
"45","36067012900",2017,2.70444444446667,2.2,NA,15,3,12,8,1,NA,1,5
"46","36067013000",2017,3.049530677625,8.5,NA,8,0,7,2,4,NA,1,1
"47","36067015800",2017,0,0,NA,1,NA,1,NA,NA,NA,NA,1
"48","36067011401",2017,4.333333333,3,5,2,NA,2,2,NA,NA,NA,NA
"49","36067011402",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","36067011500",2017,4.25,3.5,NA,2,1,1,2,NA,NA,NA,NA
"51","36067011600",2017,3.02208065045455,19.4545454545455,NA,11,11,7,2,7,NA,NA,2
"52","36067015000",2017,3.00196539282353,22.8235294117647,NA,17,22,16,2,9,4,NA,2
"53","36067015100",2017,3.19123057675,25.8333333333333,NA,12,6,9,4,4,2,NA,2
"54","36067015201",2017,3.8894268775,16.5,7.25,4,NA,4,2,2,NA,NA,NA
"55","36067015202",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","36067015203",2017,3.3916666665,29,7.25,2,NA,2,NA,1,1,NA,NA
"57","36067015400",2017,4.58,3.6,NA,5,2,3,5,NA,NA,NA,NA
"58","36067015500",2017,3,2,NA,1,NA,1,NA,1,NA,NA,NA
