"STATE","COUNTY","TRACT1","NAME","TOTAL","MEDIANHOUSEINCOME","MEDIANFAMINCOME","BLACK","ASIAN","HISPANIC","WHITE","EMPLOYED","UNEMPLOYED","INLABORFORCE","POVERTY","VACANTTOTAL","OTHERVACANT","VACANTFORRENT","SEASONALVACANT","FORSALEVACANT","HOUSEHOLDRECEIVEDSNAP","HOUSEHOLDS","OWNEROCCUPIED","RENTEROCCUPIED","TOTALHOUSINGUNITS","LACKINGKITCHENFACILITIES","LACKINGPLUMBING","MEDIANMONTHLYHOUSINGCOSTS","LESS18","SINGLEMOTHERBELOWPOVERTY","TRAVELTIMETOWORKMIN","ENROLLEDINSCHOOL","YEAR","TRACT","MALEUNEMPLOYED","FEMALEUNEMPLOYED","MALELABORFORCE","FEMALELABORFORCE","TOTALFORPOVERTY","AGGREGATETRAVELTIMETOWORK","HOUSINGVALUES"
"36","067",1,"Census Tract 1",393,23977,51563,25,3,12,344,NA,NA,NA,75,47,8,25,1,10,NA,262,88,174,309,5,0,NA,NA,NA,NA,7,2000,"36067000100",19,7,123,78,402,40,72100
"36","067",2,"Census Tract 2",3279,24338,29231,239,140,122,2657,NA,NA,NA,878,210,79,86,2,26,NA,1417,582,835,1627,25,24,NA,NA,NA,NA,84,2000,"36067000200",77,50,784,707,3265,187,59100
"36","067",3,"Census Tract 3",1604,33625,33810,81,24,63,1430,NA,NA,NA,157,41,19,6,1,8,NA,675,463,212,716,0,0,NA,NA,NA,NA,52,2000,"36067000300",4,19,395,408,1607,47,66200
"36","067",4,"Census Tract 4",3630,35889,39244,97,36,37,3406,NA,NA,NA,246,99,28,18,3,40,NA,1551,1091,460,1650,5,24,NA,NA,NA,NA,102,2000,"36067000400",59,28,890,899,3606,171,68800
"36","067",5,"Census Tract 5",1251,18135,22679,115,78,45,935,NA,NA,NA,453,148,37,88,1,17,NA,529,102,427,677,20,12,NA,NA,NA,NA,34,2000,"36067000500",31,27,291,275,1248,53,44400
"36","067",6,"Census Tract 6",3160,23374,33721,307,181,148,2419,NA,NA,NA,708,205,47,109,1,41,NA,1445,424,1021,1650,32,0,NA,NA,NA,NA,112,2000,"36067000600",49,128,712,794,3160,156,50900
"36","067",7,"Census Tract 7",1630,28214,31422,124,161,52,1259,NA,NA,NA,321,78,12,47,2,15,NA,659,311,348,737,12,6,NA,NA,NA,NA,27,2000,"36067000700",0,33,340,329,1611,104,53700
"36","067",8,"Census Tract 8",2422,29402,31607,181,101,58,2024,NA,NA,NA,446,140,50,49,6,22,NA,1029,499,530,1169,0,9,NA,NA,NA,NA,102,2000,"36067000800",22,63,620,593,2409,137,58600
"36","067",9,"Census Tract 9",3359,45511,59226,101,69,58,3118,NA,NA,NA,252,78,17,34,8,12,NA,1445,933,512,1523,0,6,NA,NA,NA,NA,93,2000,"36067000900",45,26,935,939,3359,128,105300
"36","067",10,"Census Tract 10",3936,21271,31076,559,53,163,3130,NA,NA,NA,1158,159,53,76,10,13,NA,2073,688,1385,2232,0,0,NA,NA,NA,NA,92,2000,"36067001000",96,61,975,984,3929,238,66400
