"TRACT","YEAR","Code.Violations"
"36067000100","2012",11
"36067000100","2013",8
"36067000100","2014",7
"36067000100","2015",7
"36067000200","2012",234
"36067000200","2013",166
"36067000200","2014",187
"36067000200","2015",137
"36067000300","2012",23
"36067000300","2013",21
"36067000300","2014",18
"36067000300","2015",36
"36067000400","2012",61
"36067000400","2013",60
"36067000400","2014",64
"36067000400","2015",58
"36067000501","2012",178
"36067000501","2013",105
"36067000501","2014",132
"36067000501","2015",99
"36067000600","2012",274
"36067000600","2013",136
"36067000600","2014",159
"36067000600","2015",95
"36067000700","2012",111
"36067000700","2013",88
"36067000700","2014",83
"36067000700","2015",50
"36067000800","2012",91
"36067000800","2013",112
"36067000800","2014",102
"36067000800","2015",73
"36067000900","2012",36
"36067000900","2013",40
"36067000900","2014",27
"36067000900","2015",34
"36067001000","2012",40
"36067001000","2013",57
"36067001000","2014",48
"36067001000","2015",82
"36067001400","2012",183
"36067001400","2013",149
"36067001400","2014",188
"36067001400","2015",94
"36067001500","2012",134
"36067001500","2013",133
"36067001500","2014",136
"36067001500","2015",107
"36067001600","2012",42
"36067001600","2013",26
"36067001600","2014",50
"36067001600","2015",16
"36067001701","2012",85
"36067001701","2013",86
"36067001701","2014",82
"36067001701","2015",76
"36067001702","2012",90
"36067001702","2013",74
"36067001702","2014",77
"36067001702","2015",70
"36067001800","2012",34
"36067001800","2013",24
"36067001800","2014",21
"36067001800","2015",42
"36067001900","2012",46
"36067001900","2013",49
"36067001900","2014",51
"36067001900","2015",47
"36067002000","2012",62
"36067002000","2013",70
"36067002000","2014",88
"36067002000","2015",77
"36067002101","2012",150
"36067002101","2013",155
"36067002101","2014",182
"36067002101","2015",131
"36067002300","2012",83
"36067002300","2013",54
"36067002300","2014",58
"36067002300","2015",47
"36067002400","2012",85
"36067002400","2013",64
"36067002400","2014",87
"36067002400","2015",68
"36067002700","2012",23
"36067002700","2013",33
"36067002700","2014",43
"36067002700","2015",38
"36067002901","2012",53
"36067002901","2013",56
"36067002901","2014",58
"36067002901","2015",51
"36067003000","2012",39
"36067003000","2013",36
"36067003000","2014",54
"36067003000","2015",35
"36067003200","2012",58
"36067003200","2013",59
"36067003200","2014",104
"36067003200","2015",67
"36067003400","2012",28
"36067003400","2013",30
"36067003400","2014",27
"36067003400","2015",34
"36067003500","2012",73
"36067003500","2013",47
"36067003500","2014",106
"36067003500","2015",80
"36067003601","2012",65
"36067003601","2013",72
"36067003601","2014",75
"36067003601","2015",78
"36067003602","2012",29
"36067003602","2013",56
"36067003602","2014",61
"36067003602","2015",34
"36067003800","2012",168
"36067003800","2013",91
"36067003800","2014",127
"36067003800","2015",111
"36067003900","2012",291
"36067003900","2013",242
"36067003900","2014",296
"36067003900","2015",198
"36067004000","2012",101
"36067004000","2013",66
"36067004000","2014",90
"36067004000","2015",59
"36067004200","2012",11
"36067004200","2013",13
"36067004200","2014",18
"36067004200","2015",12
"36067004301","2012",2
"36067004301","2014",5
"36067004301","2015",1
"36067004302","2012",9
"36067004302","2013",11
"36067004302","2014",28
"36067004302","2015",15
"36067004400","2012",71
"36067004400","2013",43
"36067004400","2014",58
"36067004400","2015",52
"36067004500","2012",103
"36067004500","2013",94
"36067004500","2014",114
"36067004500","2015",84
"36067004600","2012",30
"36067004600","2013",27
"36067004600","2014",34
"36067004600","2015",32
"36067004800","2012",17
"36067004800","2013",22
"36067004800","2014",19
"36067004800","2015",25
"36067004900","2012",68
"36067004900","2013",51
"36067004900","2014",49
"36067004900","2015",45
"36067005000","2012",52
"36067005000","2013",29
"36067005000","2014",41
"36067005000","2015",38
"36067005100","2012",172
"36067005100","2013",148
"36067005100","2014",174
"36067005100","2015",116
"36067005200","2012",154
"36067005200","2013",115
"36067005200","2014",152
"36067005200","2015",109
"36067005300","2012",66
"36067005300","2013",68
"36067005300","2014",70
"36067005300","2015",70
"36067005400","2012",161
"36067005400","2013",159
"36067005400","2014",209
"36067005400","2015",161
"36067005500","2012",45
"36067005500","2013",49
"36067005500","2014",56
"36067005500","2015",61
"36067005601","2012",12
"36067005601","2013",10
"36067005601","2014",13
"36067005601","2015",23
"36067005602","2012",1
"36067005602","2013",1
"36067005602","2015",2
"36067005700","2012",78
"36067005700","2013",76
"36067005700","2014",90
"36067005700","2015",79
"36067005800","2012",200
"36067005800","2013",155
"36067005800","2014",187
"36067005800","2015",157
"36067005900","2012",134
"36067005900","2013",102
"36067005900","2014",148
"36067005900","2015",112
"36067006000","2012",76
"36067006000","2013",61
"36067006000","2014",78
"36067006000","2015",71
"36067006101","2012",105
"36067006101","2013",101
"36067006101","2014",147
"36067006101","2015",126
"36067006102","2012",4
"36067006102","2013",11
"36067006102","2014",5
"36067006102","2015",8
"36067006103","2012",27
"36067006103","2013",34
"36067006103","2014",31
"36067006103","2015",39
NA,"2012",596
NA,"2013",542
NA,"2014",670
NA,"2015",599
