"TRACT","GROCERY","YEAR"
"1",0,2015
"10",0,2015
"14",0,2015
"15",0,2015
"16",0,2015
"17.01",0,2015
"17.02",0,2015
"18",0,2015
"19",0,2015
"2",0,2015
"20",0,2015
"21.01",0,2015
"23",1,2015
"24",1,2015
"27",0,2015
"29.01",1,2015
"3",0,2015
"30",0,2015
"32",0,2015
"34",0,2015
"35",1,2015
"36.01",1,2015
"36.02",1,2015
"38",0,2015
"39",0,2015
"4",0,2015
"40",1,2015
"42",0,2015
"43.01",0,2015
"43.02",0,2015
"44",0,2015
"45",1,2015
"46",0,2015
"48",1,2015
"49",0,2015
"5.01",0,2015
"50",0,2015
"51",0,2015
"52",0,2015
"53",0,2015
"54",0,2015
"55",0,2015
"56.01",0,2015
"56.02",0,2015
"57",0,2015
"58",0,2015
"59",0,2015
"6",0,2015
"60",0,2015
"61.01",1,2015
"61.02",0,2015
"61.03",0,2015
"7",1,2015
"8",0,2015
"9",0,2015
