"Supermarke","Address","lon","lat","STATEFP10","COUNTYFP10","TRACTCE10","GEOID10","NAME10","NAMELSAD10","MTFCC10","FUNCSTAT10","ALAND10","AWATER10","INTPTLAT10","INTPTLON10"
"Dominick's Market","139 Gertrude St, Syracuse, NY, 13203",-76.1375659,43.054511,"36","067","002400","36067002400","24","Census Tract 24","G5020","S",465678,0,"+43.0540773","-076.1350296"
"Nojaim Brothers of Syracuse","307 Gifford St., Syracuse, NY, 13204",-76.1585047,43.0430548,"36","067","004000","36067004000","40","Census Tract 40","G5020","S",501636,0,"+43.0415797","-076.1623869"
"Save-A-Lot","220 S Geddes Street, Syracuse, NY, 13204",-76.172153,43.0449404,"36","067","002901","36067002901","29.01","Census Tract 29.01","G5020","S",1870601,0,"+43.0441999","-076.1820651"
"Tops - Northside","700 1st North St., Syracuse, NY, 13208",-76.1489648,43.0693676,"36","067","000700","36067000700","7","Census Tract 7","G5020","S",323803,0,"+43.0692654","-076.1457226"
"Save-A-Lot","500 Butternut Street, Syracuse, NY, 13208",-76.1475436,43.0588993,"36","067","002300","36067002300","23","Census Tract 23","G5020","S",493688,0,"+43.0558933","-076.1479862"
"Syracuse Real Food Co-Op","618 Kensington Rd., Syracuse, NY, 13210",-76.1163798,43.0318177,"36","067","004500","36067004500","45","Census Tract 45","G5020","S",1030766,0,"+43.0359707","-076.1181389"
"Price Rite - Syracuse","1605 Erie Blvd E., Syracuse, NY, 13210",-76.1228768,43.0498715,"36","067","003500","36067003500","35","Census Tract 35","G5020","S",1137202,0,"+43.0479840","-076.1200136"
"Tops - Valley Plaza","4141 South Salina St., Syracuse, NY, 13205",-76.1412057,43.0083113,"36","067","006101","36067006101","61.01","Census Tract 61.01","G5020","S",1364538,0,"+43.0071930","-076.1414663"
"Wegmans - Onondaga","4722 Onondaga Blvd., Syracuse, NY, 13219",-76.1911744,43.0312901,"36","067","004800","36067004800","48","Census Tract 48","G5020","S",1206079,0,"+43.0279451","-076.1920648"
"Price Chopper - Erie Blvd.","2515 Erie Blvd. E, Syracuse, NY, 13224",-76.1019946,43.0547604,"36","067","003602","36067003602","36.02","Census Tract 36.02","G5020","S",1644591,0,"+43.0537868","-076.0956358"
"Aldi - Syracuse","2015 Erie Blvd. E, Syracuse, NY, 13224",-76.1144747,43.0524096,"36","067","003601","36067003601","36.01","Census Tract 36.01","G5020","S",1107236,0,"+43.0509535","-076.1092805"
