"YEAR","TRACT","Subsidized.units.available"
"2010",2,34
"2010",6,139
"2010",16,175
"2010",29,11
"2010",30,500
"2010",39,6
"2010",40,43
"2010",42,771
"2010",43,480
"2010",52,8
"2010",53,89
"2010",54,2
"2010",55,61
"2010",56.02,1
"2011",2,31
"2011",6,131
"2011",16,170
"2011",29,7
"2011",30,451
"2011",39,5
"2011",40,45
"2011",42,842
"2011",43,471
"2011",52,11
"2011",53,92
"2011",54,2
"2011",55,60
"2011",56.02,1
"2012",2,31
"2012",6,143
"2012",16,163
"2012",29.01,8
"2012",30,486
"2012",39,5
"2012",40,41
"2012",42,841
"2012",43.01,460
"2012",52,9
"2012",53,90
"2012",54,2
"2012",55,58
"2012",56.02,1
"2013",2,29
"2013",6,155
"2013",16,162
"2013",21.01,9
"2013",30,487
"2013",39,5
"2013",40,43
"2013",42,835
"2013",43.01,457
"2013",52,10
"2013",53,88
"2013",54,2
"2013",55,56
"2013",56.02,1
"2014",1,8
"2014",2,28
"2014",6,159
"2014",16,166
"2014",30,489
"2014",39,5
"2014",40,41
"2014",42,822
"2014",43.01,459
"2014",52,11
"2014",53,89
"2014",54,2
"2014",55,59
"2014",56.02,1
"2015",1,9
"2015",2,32
"2015",6,157
"2015",16,165
"2015",30,488
"2015",39,5
"2015",40,42
"2015",42,823
"2015",43.01,460
"2015",52,9
"2015",53,90
"2015",54,2
"2015",55,57
"2015",56.02,1
