"","TRACT","YEAR","RATING","REVIEWS","PRICE","ESTABLISHMENTS","BARS","RESTAURANTS","STARS_4_5","STARS_3_4","STARS_2_3","STARS_1_2","STARS_0_1"
"1","36067004302",2017,3.191821415875,622,7.75,33,4,29,3,13,6,2,9
"2","36067004301",2017,3.33121693116667,160,6.5,7,2,5,1,3,2,0,1
"3","36067002101",2017,2.99242424266667,47,9.5,15,2,13,1,1,0,1,12
"4","36067000501",2017,4.03443104518182,439,9.11111111111111,18,3,15,6,4,1,0,7
"5","36067002901",2017,3.36309523814286,78,6.125,8,3,5,2,3,1,1,1
"6","36067000200",2017,3.8571428572,25,6.5,8,2,6,3,1,1,0,3
"7","36067000300",2017,4.2,5,5,1,0,1,1,0,0,0,0
"8","36067000400",2017,4.35,22,9.5,3,2,1,2,0,0,0,1
"9","36067000600",2017,4.020348837,173,9.5,6,0,6,2,0,0,0,4
"10","36067000700",2017,0,0,0,0,0,0,0,0,0,0,0
"11","36067000800",2017,3.451612903,32,5,3,0,3,1,0,1,0,1
"12","36067000900",2017,0,0,0,0,0,0,0,0,0,0,0
"13","36067001000",2017,3.08333333333333,24,7.25,11,2,9,2,2,1,1,5
"14","36067001400",2017,0,0,0,0,0,0,0,0,0,0,0
"15","36067001500",2017,3.1104651165,91,9.5,4,1,3,1,0,1,0,2
"16","36067001600",2017,3.9253571428,63,9.625,10,0,10,2,2,1,0,5
"17","36067001701",2017,3.6,5,5,3,1,2,0,1,0,0,2
"18","36067001702",2017,3.9554481792,172,6.5,6,1,5,3,1,1,0,1
"19","36067001800",2017,0,0,0,3,0,3,0,0,0,0,3
"20","36067001900",2017,3.6464285715,47,7.25,8,0,8,3,2,1,0,2
"21","36067002000",2017,4.02190853533333,222,8.83333333333333,7,0,7,2,4,0,0,1
"22","36067002300",2017,3.45901352318182,249,7.25,20,1,19,4,5,1,1,9
"23","36067002400",2017,3.72742867466667,192,8,6,1,5,5,0,1,0,0
"24","36067002700",2017,3.784598441,153,6.5,7,3,4,5,0,1,1,0
"25","36067003000",2017,4.013888889,16,5,3,0,3,2,1,0,0,0
"26","36067003200",2017,3.59552361773333,4937,8.30909090909091,121,21,100,26,36,8,5,46
"27","36067003400",2017,3.73185692821429,658,8.375,17,0,17,5,6,3,0,3
"28","36067003500",2017,3.738316334,134,5.9,8,0,8,2,2,1,0,3
"29","36067003601",2017,0,0,0,1,0,1,0,0,0,0,1
"30","36067003602",2017,3.83683384266667,572,8.6,14,1,13,4,7,1,0,2
"31","36067003800",2017,2.5,3,5,5,0,5,1,0,0,1,3
"32","36067003900",2017,0,0,0,1,0,1,0,0,0,0,1
"33","36067004000",2017,5,1,0,3,0,3,1,0,0,0,2
"34","36067004200",2017,2,1,0,1,0,1,0,0,1,0,0
"35","36067004400",2017,4.25,4,0,1,0,1,1,0,0,0,0
"36","36067004500",2017,3.29448726091667,639,7.45454545454545,12,2,10,1,7,3,1,0
"37","36067004600",2017,3.25,7,5,3,1,2,1,1,1,0,0
"38","36067004800",2017,1.5,2,5,1,0,1,0,0,0,1,0
"39","36067004900",2017,0,0,0,0,0,0,0,0,0,0,0
"40","36067005000",2017,4.5,5,0,2,0,2,2,0,0,0,0
"41","36067005100",2017,0,0,0,1,0,1,0,0,0,0,1
"42","36067005200",2017,4.222222222,9,5,1,0,1,1,0,0,0,0
"43","36067005300",2017,0,0,0,1,0,1,0,0,0,0,1
"44","36067005400",2017,4,1,0,6,0,6,1,0,0,0,5
"45","36067005500",2017,4.24,25,5,1,0,1,1,0,0,0,0
"46","36067005601",2017,0,0,0,0,0,0,0,0,0,0,0
"47","36067005602",2017,0,0,0,0,0,0,0,0,0,0,0
"48","36067005700",2017,4.25,19,5,2,1,1,2,0,0,0,0
"49","36067005800",2017,0,0,0,0,0,0,0,0,0,0,0
"50","36067005900",2017,3,1,0,2,0,2,0,1,0,0,1
"51","36067006000",2017,3.3546666668,57,6.5,5,0,5,2,2,0,1,0
"52","36067006101",2017,2.5,10,6.125,8,0,8,0,2,2,1,3
"53","36067006102",2017,0,0,0,1,0,1,0,0,0,0,1
"54","36067006103",2017,4,1,0,1,0,1,1,0,0,0,0
"55","36067000100",2017,3.06373218639394,1146,8.25,41,5,36,3,16,11,3,8
