"","Tract","Year","Ins.Frq","Ins.Val","Tot.Frq","Tot.Val","Res.Frq","Res.Val","Com.Frq","Com.Val"
"1",1,2012,387,11302117,499,42562448,1,3500,106,31122831
"2",1,2013,331,8571938,414,23368067,1,7000,73,14709629
"3",1,2014,214,4843742.39,282,35751034.39,1,15000,62,30826792
"4",1,2015,199,8791086.81,245,16179886.81,1,20000,43,7337800
"5",1,2016,184,9613693.46,228,44155082.46,NA,NA,39,34432389
"6",10,2012,75,740592,98,3064692,8,51600,13,2255000
"7",10,2013,53,241281.35,71,718981.35,12,39700,5,437000
"8",10,2014,44,257458.99,63,496697.99,16,130239,2,108000
"9",10,2015,32,138870,52,219610,17,57740,3,23000
"10",10,2016,47,139920,55,259220,6,106300,2,13000
"11",14,2012,26,55852,39,104652,4,8500,6,23400
"12",14,2013,23,84612,34,145812,5,40500,4,9800
"13",14,2014,36,95571.16,49,201471.16,9,15600,1,2000
"14",14,2015,24,40764.99,37,132564.99,8,31000,1,5000
"15",14,2016,18,91703.92,31,211073.92,9,69790,NA,NA
"16",15,2012,22,66384,27,112849,1,26900,3,19065
"17",15,2013,22,50036,28,75936,4,7400,2,18500
"18",15,2014,22,43276.78,28,87176.78,3,12400,2,20000
"19",15,2015,32,134348,49,339698,11,78950,1,57000
"20",15,2016,18,31868,26,96168,7,54300,NA,NA
"21",16,2012,51,1857486,66,3539486,5,60500,10,1621500
"22",16,2013,52,1859121,64,3174321,7,24500,4,1290500
"23",16,2014,44,1172051.2,58,2209013.2,3,228502,10,791460
"24",16,2015,51,2116454,70,4935980,4,28500,13,2726476
"25",16,2016,22,664633.53,25,805918.53,NA,NA,2,50285
"26",17.01,2012,24,137948,44,482299,16,307665,2,26886
"27",17.01,2013,36,145491,47,185561,10,38070,NA,NA
"28",17.01,2014,14,38863,32,131963,15,46100,1,7000
"29",17.01,2015,29,99450,43,323750,10,143300,1,7000
"30",17.01,2016,22,64331.46,29,91831.46,6,17500,NA,NA
"31",17.02,2012,27,51139,35,91739,7,31100,1,9500
"32",17.02,2013,30,65852,46,140452,15,70100,NA,NA
"33",17.02,2014,33,60739.51,50,185029.51,10,77400,2,2400
"34",17.02,2015,34,87150,45,165220,7,43890,NA,NA
"35",17.02,2016,20,51155,33,112255,10,28800,2,21000
"36",18,2012,27,49656,39,500756,7,269000,4,168100
"37",18,2013,40,152614,60,252114,18,94300,2,5200
"38",18,2014,44,94027.36,59,160127.36,11,49100,3,16500
"39",18,2015,39,150241.02,60,336477.02,21,186236,NA,NA
"40",18,2016,27,63861,41,137911,14,74050,NA,NA
"41",19,2012,61,310067,77,869617,10,73700,2,479250
"42",19,2013,61,169128,76,279946,13,106818,1,3000
"43",19,2014,41,173572.69,58,242642.69,16,69070,NA,NA
"44",19,2015,53,125305,72,247538,19,122233,NA,NA
"45",19,2016,45,217048,62,281020,16,50972,NA,NA
"46",2,2012,52,758083,61,854083,4,32000,5,64000
"47",2,2013,49,130311,60,338801,9,50000,1,143190
"48",2,2014,42,141632.71,57,248242.71,6,24800,3,17355
"49",2,2015,41,93292,74,392163,22,82851,4,76784
"50",2,2016,21,34199,38,262499,7,30400,3,95500
"51",20,2012,23,73778,28,126578,4,49300,1,3500
"52",20,2013,24,81690.67,32,111190.67,6,23000,2,6500
