"","Test.Year","Accountability.School","Score","lon","lat","school.open","STATEFP10","COUNTYFP10","TRACTCE10","GEOID10","NAME10","NAMELSAD10","MTFCC10","FUNCSTAT10","ALAND10","AWATER10","INTPTLAT10","INTPTLON10"
"1",2005,"Bellevue Elementary School",0.8022177419375,-76.1732072,43.0307232,TRUE,"36","067","005000","36067005000","50","Census Tract 50","G5020","S",1149255,45948,"+43.0272963","-076.1689815"
"2",2005,"Clary Middle School",0.767486582725,-76.144503,42.996675,TRUE,"36","067","006103","36067006103","61.03","Census Tract 61.03","G5020","S",1951225,0,"+42.9926718","-076.1415797"
"3",2005,"Corcoran High School",0.578539571072727,-76.174156,43.017885,TRUE,"36","067","005700","36067005700","57","Census Tract 57","G5020","S",1356596,0,"+43.0152012","-076.1636184"
"4",2005,"Delaware Academy",0.816043800875,-76.1735075,43.0387675,TRUE,"36","067","003800","36067003800","38","Census Tract 38","G5020","S",772366,0,"+43.0361519","-076.1796494"
"5",2005,"Dr. King Elementary School",0.78509722225,-76.1442423,43.034958,TRUE,"36","067","005300","36067005300","53","Census Tract 53","G5020","S",695620,0,"+43.0317144","-076.1476356"
"6",2005,"Dr. Weeks Elementary School",0.846018917625,-76.1323382,43.0547312,TRUE,"36","067","002400","36067002400","24","Census Tract 24","G5020","S",465678,0,"+43.0540773","-076.1350296"
"7",2005,"Edward Smith Elementary School",0.8191713483125,-76.123047,43.029657,TRUE,"36","067","005601","36067005601","56.01","Census Tract 56.01","G5020","S",1649089,7491,"+43.0233022","-076.1210584"
"8",2005,"Elmcrest Children's Center School",0.68171139269375,-76.1322694,42.9964719,TRUE,"36","067","006102","36067006102","61.02","Census Tract 61.02","G5020","S",1738154,0,"+42.9984281","-076.1304280"
"9",2005,"Fowler High School",0.568495661190909,-76.1736283,43.0437803,TRUE,"36","067","002901","36067002901","29.01","Census Tract 29.01","G5020","S",1870601,0,"+43.0441999","-076.1820651"
"10",2005,"Franklin Elementary School",0.8009209704375,-76.1462992,43.0626747,TRUE,"36","067","001400","36067001400","14","Census Tract 14","G5020","S",415681,0,"+43.0638377","-076.1481159"
"11",2005,"Frazer Elementary School",0.8301415399375,-76.1737379,43.051577,TRUE,"36","067","002101","36067002101","21.01","Census Tract 21.01","G5020","S",1578293,0,"+43.0526383","-076.1712469"
"12",2005,"Frazer Middle School",0.8573301079375,-76.1737379,43.051577,TRUE,"36","067","002101","36067002101","21.01","Census Tract 21.01","G5020","S",1578293,0,"+43.0526383","-076.1712469"
"13",2005,"Grant Middle School",0.8631198556875,-76.1481883,43.0743159,TRUE,"36","067","000400","36067000400","4","Census Tract 4","G5020","S",1524699,0,"+43.0762560","-076.1378045"
"14",2005,"Henninger High School",0.584682052745454,-76.1188171,43.0577607,TRUE,"36","067","001702","36067001702","17.02","Census Tract 17.02","G5020","S",998402,0,"+43.0608519","-076.1179082"
"15",2005,"Hughes Elementary School",0.794316810375,-76.1337167,43.0233411,TRUE,"36","067","005500","36067005500","55","Census Tract 55","G5020","S",2728565,0,"+43.0210674","-076.1337849"
"16",2005,"Huntington Elementary School",0.8042966956875,-76.110686,43.0606314,TRUE,"36","067","001800","36067001800","18","Census Tract 18","G5020","S",897079,0,"+43.0622758","-076.1098792"
"17",2005,"Huntington Middle School",0.8713580316875,-76.110686,43.0606314,TRUE,"36","067","001800","36067001800","18","Census Tract 18","G5020","S",897079,0,"+43.0622758","-076.1098792"
"18",2005,"Hurlbut W. Smith Elementary School",0.8138676001875,-76.0952433,43.0474911,TRUE,"36","067","004600","36067004600","46","Census Tract 46","G5020","S",3864670,0,"+43.0400611","-076.0977558"
"19",2005,"Lemoyne Elementary School",0.799385205,-76.1487262,43.0823115,TRUE,"36","067","000300","36067000300","3","Census Tract 3","G5020","S",574912,0,"+43.0812047","-076.1483599"
"20",2005,"Levy Middle School - CLOSED",0.8875,-76.1481883,43.0743159,FALSE,"36","067","000400","36067000400","4","Census Tract 4","G5020","S",1524699,0,"+43.0762560","-076.1378045"
"21",2005,"Lincoln Middle School",0.85889882425,-76.1252364,43.0652911,TRUE,"36","067","000900","36067000900","9","Census Tract 9","G5020","S",1271793,0,"+43.0678446","-076.1271182"
"22",2005,"McCarthy at Beard School",0.826502892875,-76.1508054,43.0301828,TRUE,"36","067","005300","36067005300","53","Census Tract 53","G5020","S",695620,0,"+43.0317144","-076.1476356"
"23",2005,"McKinley - Brighton Elementary School",0.8036456236875,-76.1438653,43.0174041,TRUE,"36","067","005900","36067005900","59","Census Tract 59","G5020","S",494558,0,"+43.0170298","-076.1445626"
"24",2005,"Meachem Elementary School",0.829399875625,-76.1466417,42.986612,TRUE,"36","067","006103","36067006103","61.03","Census Tract 61.03","G5020","S",1951225,0,"+42.9926718","-076.1415797"
"25",2005,"Nottingham High School",0.650612098136364,-76.0978925,43.0410394,TRUE,"36","067","004600","36067004600","46","Census Tract 46","G5020","S",3864670,0,"+43.0400611","-076.0977558"
"26",2005,"Porter Elementary School",0.813392878625,-76.1875226,43.0536601,TRUE,"36","067","002000","36067002000","20","Census Tract 20","G5020","S",945411,0,"+43.0568412","-076.1933162"
"27",2005,"Roberts Elementary School",0.7971537161875,-76.1718182,43.0190807,TRUE,"36","067","005700","36067005700","57","Census Tract 57","G5020","S",1356596,0,"+43.0152012","-076.1636184"
"28",2005,"Roberts Middle School",0.8750253268125,-76.1718182,43.0190807,TRUE,"36","067","005700","36067005700","57","Census Tract 57","G5020","S",1356596,0,"+43.0152012","-076.1636184"
"29",2005,"Salem Hyde Elementary School",0.8149888393125,-76.1268371,43.0697881,TRUE,"36","067","000900","36067000900","9","Census Tract 9","G5020","S",1271793,0,"+43.0678446","-076.1271182"
"30",2005,"Seymour Dual Language Academy",0.7924979613125,-76.158735,43.0420314,TRUE,"36","067","004000","36067004000","40","Census Tract 40","G5020","S",501636,0,"+43.0415797","-076.1623869"
"31",2005,"Van Duyn Elementary School",0.8249911458125,-76.15272,43.0071241,TRUE,"36","067","006000","36067006000","60","Census Tract 60","G5020","S",3689384,18431,"+42.9982727","-076.1563154"
"32",2005,"Webster Elementary School",0.826354166625,-76.1379587,43.0751854,TRUE,"36","067","000400","36067000400","4","Census Tract 4","G5020","S",1524699,0,"+43.0762560","-076.1378045"
"33",2010,"Bellevue Elementary School",0.77015106954375,-76.1732072,43.0307232,TRUE,"36","067","005000","36067005000","50","Census Tract 50","G5020","S",1149255,45948,"+43.0272963","-076.1689815"
"34",2010,"Bellevue Middle School Academy at Shea- CLOSED",0.67385416665625,-76.174691,43.031444,FALSE,"36","067","005000","36067005000","50","Census Tract 50","G5020","S",1149255,45948,"+43.0272963","-076.1689815"
"35",2010,"Blodgett Middle School - CLOSED",0.8403125,-76.165241,43.0445001,FALSE,"36","067","003000","36067003000","30","Census Tract 30","G5020","S",804722,0,"+43.0461462","-076.1632030"
"36",2010,"Clary Middle School",0.7161265718,-76.144503,42.996675,TRUE,"36","067","006103","36067006103","61.03","Census Tract 61.03","G5020","S",1951225,0,"+42.9926718","-076.1415797"
"37",2010,"Corcoran High School",0.5866369519,-76.174156,43.017885,TRUE,"36","067","005700","36067005700","57","Census Tract 57","G5020","S",1356596,0,"+43.0152012","-076.1636184"
"38",2010,"Danforth Middle School",0.636492203345833,-76.1507545,43.0194474,TRUE,"36","067","005800","36067005800","58","Census Tract 58","G5020","S",860683,0,"+43.0199057","-076.1526432"
"39",2010,"Delaware Academy",0.70368302646875,-76.1735075,43.0387675,TRUE,"36","067","003800","36067003800","38","Census Tract 38","G5020","S",772366,0,"+43.0361519","-076.1796494"
"40",2010,"Dr. King Elementary School",0.7393275579875,-76.1442423,43.034958,TRUE,"36","067","005300","36067005300","53","Census Tract 53","G5020","S",695620,0,"+43.0317144","-076.1476356"
