DATA_ID,NAME,TYPE,SUBTYPE1,SUBTYPE2,SUBTYPE3,RATING,REVIEWS,PRICE_HIGH,PRICE_LOW,ADDRESS,STREET,CITY,STATE,ZIPCODE,LATITUDE,LONGITUDE,TELEPHONE,WEBSITE,RESERVATIONS,DELIVERY,TAKEOUT,ACCEPTS_CREDIT,ACCEPTS_APPLE_PAY,ACCEPTS_ANDROID_PAY,ACCEPTS_BITCOIN,GOOD_FOR,PARKING,BIKE_PARKING,WHEELCHAIR_ACCESSIBLE,GOOD_FOR_KIDS,GOOD_FOR_GROUPS,ATTIRE,AMBIENCE,NOISE_LEVEL,ALCOHOL,OUTDOOR_SEATING,WIFI,HAS_TV,WAITER_SERVICE,CATERS,COAT_CHECK,DOGS_ALLOWED,HAS_POOL_TABLE,GOOD_FOR_DANCING,HAPPY_HOUR,BEST_NIGHTS,SMOKING,GOOD_FOR_WORKING,GENDER_NEUTRAL_RESTROOM,MUSIC,MILITARY_DISCOUNT,DRIVE_THRU,MON_OPEN,MON_CLOSE,TUE_OPEN,TUE_CLOSE,WED_OPEN,WED_CLOSE,THU_OPEN,THU_CLOSE,FRI_OPEN,FRI_CLOSE,SAT_OPEN,SAT_CLOSE,SUN_OPEN,SUN_CLOSE,RATING_5,RATING_4,RATING_3,RATING_2,RATING_1
1,Darwin,Restaurant,American (New),Sandwiches,,4.72027972,143,10,0,"211 N Clinton St, Syracuse, NY 13202",211 N Clinton St,Syracuse,NY,13202,43.0517903,-76.1537625,13153730484,darwinonclinton.com,No,Yes,Yes,Yes,No,,No,Lunch,Street,No,No,Yes,No,Casual,Casual,Average,No,No,No,No,No,Yes,,,,,,,,,,,,,10:30 AM,2:30 PM,10:30 AM,2:30 PM,10:30 AM,2:30 PM,10:30 AM,2:30 PM,10:30 AM,2:30 PM,,,,,110,26,7,0,0
2,Apizza Regionale,Restaurant,Pizza,Italian,Cocktail Bars,4.569230769,65,30,11,"260 W Genessee St, Syracuse, NY 13202",260 W Genessee St,Syracuse,NY,13202,43.0518888,-76.1548616,13158022607,apizzaregionale.com,No,No,No,Yes,No,,No,,"Street, Private Lot",Yes,Yes,Yes,Yes,Casual,Trendy,Average,Full Bar,Yes,Free,No,Yes,No,No,Yes,No,No,,,,,,,,,,,11:30 AM,2:30 PM,11:30 AM,2:30 PM,11:30 AM,2:30 PM,11:30 AM,2:30 PM,4:00 PM,11:00 PM,4:00 PM,9:00 PM,49,8,5,2,1
3,Dinosaur Bar-B-Que,Restaurant,Barbeque,American (Traditional),,4.293515358,1172,30,11,"246 W Willow St, Syracuse, NY 13202",246 W Willow St,Syracuse,NY,13202,43.052489,-76.154655,13154764937,dinosaurbarbque.com,No,No,Yes,Yes,No,No,,"Lunch, Dinner",Street,Yes,Yes,Yes,Yes,Casual,Casual,Loud,Full Bar,Yes,Free,Yes,Yes,Yes,,,,,,,,,,,,,11:00 AM,11:00 PM,11:00 AM,11:00 PM,11:00 AM,11:00 PM,11:00 AM,11:00 PM,11:00 AM,1:00 AM,11:00 AM,1:00 AM,11:00 AM,11:00 PM,644,329,121,55,23
4,Otro Cinco,Restaurant,Mexican,Spanish,,3.966887417,151,30,11,"206 S Warren St, Syracuse, NY 13202",206 S Warren St,Syracuse,NY,13202,43.0488693,-76.150832,13154226876,otro5cinco.com,Yes,Yes,Yes,Yes,No,,No,"Lunch, Dinner",Street,Yes,Yes,Yes,Yes,Casual,,Average,Full Bar,Yes,No,No,Yes,Yes,,No,,,,,,,,,,,10:00 AM,10:00 PM,10:00 AM,10:00 PM,10:00 AM,10:00 PM,10:00 AM,1:00 AM,10:00 AM,11:00 PM,11:00 AM,11:00 PM,11:00 AM,10:00 PM,69,43,16,11,12
5,Laci's Tapas Bar,Restaurant,Tapas/Small Plates,,,4.133802817,142,30,11,"304 Hawley Ave, Syracuse, NY 13203",304 Hawley Ave,Syracuse,NY,13203,43.0530932,-76.1414545,13152185903,lacistapasbar.com,Yes,No,Yes,Yes,,,,Dinner,"Street, Private Lot",Yes,No,No,Yes,Casual,Trendy,Average,Full Bar,No,No,No,Yes,Yes,,,,,,,,,,,,,,,4:00 PM,10:00 PM,4:00 PM,10:00 PM,4:00 PM,10:00 PM,4:00 PM,11:00 PM,4:00 PM,11:00 PM,,,67,43,16,16,0
6,Gangnam Style Korean Kitchen,Restaurant,Chicken Wings,Korean,,4.56097561,41,30,11,"115 Harvard Place, Syracuse, NY 13210",115 Harvard Place,Syracuse,NY,13210,43.0417129,-76.118844,13154221219,gangnamstylekitchen.com,No,Yes,Yes,Yes,Yes,,,Lunch,,Yes,Yes,Yes,No,Casual,,Quiet,No,No,Free,Yes,Yes,Yes,,,,,,,,,,,,,11:00 AM,11:00 PM,,,11:00 AM,11:00 PM,11:00 AM,11:00 PM,11:00 AM,11:00 PM,11:00 AM,11:00 PM,11:00 AM,11:00 PM,28,10,1,2,0
7,Aster Pantry & Parlor,Restaurant,American (New),,,3.893442623,122,30,11,"116 Walton St, Syracuse, NY 13202",116 Walton St,Syracuse,NY,13202,43.04802344,-76.15416893,13153730031,asterpantry.com,Yes,No,Yes,Yes,No,,,Dinner,Street,Yes,Yes,No,Yes,Casual,Classy,Average,Full Bar,Yes,Free,No,Yes,Yes,,,,,,,,,,,,,11:30 AM,9:00 PM,11:30 AM,9:00 PM,11:30 AM,9:00 PM,11:30 AM,10:30 PM,11:30 AM,10:30 PM,11:30 AM,10:30 PM,11:30 AM,8:00 PM,58,28,15,7,14
8,Pastabilities,Restaurant,Italian,,,4.145491803,488,30,11,"311 S Franklin St, Syracuse, NY 13202",311 S Franklin St,Syracuse,NY,13202,43.0483024,-76.1554058,13154741153,pastabilities.com,No,No,Yes,Yes,No,,,Dinner,"Garage, Street",Yes,Yes,Yes,Yes,Casual,Casual,Average,Full Bar,Yes,No,No,Yes,Yes,,No,,,,,,,,,,,11:30 AM,2:30 PM,11:30 AM,2:30 PM,11:30 AM,2:30 PM,11:30 AM,2:30 PM,11:30 AM,2:30 PM,11:30 AM,2:30 PM,4:00 PM,10:00 PM,215,179,59,20,15
9,Yamasho Sushi Steakhouse,Restaurant,Japanese,Sushi Bars,Steakhouses,4.75,52,30,11,"4713 Onondaga blvd\nSte 110, Syracuse, NY 13219",4713 Onondaga blvd\nSte 110,Syracuse,NY,13219,43.0351001,-76.1916407,13154758858,Yamashorestaurant.com,Yes,Yes,Yes,Yes,Yes,,,"Lunch, Dinner",,Yes,,Yes,Yes,Casual,,Average,Full Bar,No,No,Yes,Yes,No,,,,,,,,,,,,,11:30 AM,10:00 PM,11:30 AM,10:00 PM,11:30 AM,10:00 PM,11:30 AM,10:00 PM,11:30 AM,11:00 PM,11:30 AM,11:00 PM,12:00 PM,10:00 PM,43,6,2,1,0
10,Empire Brewing Company,Restaurant,American (Traditional),Beer Bar,Pubs,3.789115646,294,30,11,"120 Walton St, Syracuse, NY 13202",120 Walton St,Syracuse,NY,13202,43.0481785,-76.1546009,13154752337,empirebrew.com,Yes,No,Yes,Yes,,,,,,Yes,,No,Yes,Casual,,,Full Bar,Yes,Free,Yes,Yes,,,,,No,Yes,,,,,,,,11:30 AM,10:00 PM,11:30 AM,10:00 PM,11:30 AM,10:00 PM,11:30 AM,10:00 PM,11:30 AM,11:00 PM,11:30 AM,11:00 PM,10:00 AM,9:00 PM,93,105,52,29,15
