Project ID,Transaction ID,2010 Census Tract,"Metro/Non-Metro, 2010 Census",Origination Year,Community Development Entity (CDE) Name,QLICI Amount,City,State,Zip Code,Purpose of Investment,QALICB Type,Multi-CDE,Multi-Tract QLICI
AK0001,1,2050000100,Non-Metropolitan,2008,"Alaska Growth Capital BIDCO, Inc.","$300,000.00 ",Aleknagik,AK,99555,Business Financing,NRE,NO,NO
AK0002,2,2020001000,Metropolitan,2006,"Alaska Growth Capital BIDCO, Inc.","$1,008,750.00 ",Anchorage,AK,99501,Business Financing,NRE,NO,NO
AK0002,3,2020001000,Metropolitan,2006,"Alaska Growth Capital BIDCO, Inc.","$187,500.00 ",Anchorage,AK,99501,Business Financing,NRE,NO,NO
AK0003,4,2020000600,Metropolitan,2006,"HEDC New Markets, Inc","$977,000.00 ",Anchorage,AK,99508,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,NRE,NO,NO
AK0003,5,2020000600,Metropolitan,2006,"HEDC New Markets, Inc","$2,923,000.00 ",Anchorage,AK,99508,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,NRE,NO,NO
AK0003,6,2020000600,Metropolitan,2006,"HEDC New Markets, Inc","$1,161,506.00 ",Anchorage,AK,99508,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,NRE,NO,NO
AK0006,7,2020001802,Metropolitan,2006,"Alaska Growth Capital BIDCO, Inc.","$750,000.00 ",Anchorage,AK,99507,Business Financing,NRE,NO,NO
AK0007,8,2020001900,Metropolitan,2006,"Alaska Growth Capital BIDCO, Inc.","$127,500.00 ",Anchorage,AK,99503,Business Financing,NRE,NO,NO
AK0009,9,2020001900,Metropolitan,2006,"Alaska Growth Capital BIDCO, Inc.","$450,000.00 ",Anchorage,AK,99517,Business Financing,NRE,NO,NO
AK0010,10,2020001000,Metropolitan,2007,"USBCDE, LLC","$6,080,000.00 ",Anchorage,AK,99501,Real Estate–Rehabilitation–Commercial,RE,YES,NO
