Company,Parent Company,Location,City,County,Address,Zip,Project Description,NAICS Industry Code,Year,Subsidy Value,Megadeal Contribution,Subsidy Value Adjusted For Megadeal,Program Name,Awarding Agency,Type of Subsidy,Number of Jobs or Training Slots,Wage Data,Wage Data Type,Investment Data,Source of Data,Notes,Subsidy Source,CFDA Program Number,Loan Value,State in Which Facility Is Located,Major Industry of Parent
Pyramid Companies,Pyramid Companies,New York,Syracuse,Onondaga,,,expansion of shopping mall,,2002,"$600,000,000 ","$586,223,354 ","$586,223,354 ",multiple,multiple,MEGADEAL,,,,"$1,800,000,000 ","The subsidy value came from: Rick Moriarty and Tim Knauss, ""After more than 13 years of grand plans and setbacks, Robert Congel says Destiny USA is complete,"" Syracuse Post Standard, June 7, 2012.","When developer Robert Congel and his Pyramid Companies proposed a huge expansion of their Carousel Center mall into what was renamed Destiny USA, the city and state provided subsidies including a PILOT agreement that allowed the project to save some $600 million on property taxes over 30 years. The main Subsidy Tracker data includes various DestinyUSA entries under the Industrial Development Agency and Empire Zone programs.",multiple,,$0 , ," ""real estate"""
PYRAMID COMPANY OF ONONDAGA,Pyramid Companies,New York,Syracuse,Onondaga,,,C734104 Oil City / Carousel Center-Phase 1,,2011,"$56,143,114 ",$0 ,"$56,143,114 ",Brownfield Cleanup Program Tax Credit,Department of Taxation and Finance,tax credit/rebate,,,,"$561,431,141 ",http://www.tax.ny.gov/research/stats/statistics/special_interest_reports/brownfield_credit/brownfield_credit_reports.htm,subsidy value is total credit; investment amount is total costs.,state,,$0 , ," ""real estate"""
Carousel Center Facility,Pyramid Companies,New York,Syracuse,Onondaga,Clinton Exchange 4 Clinton Square,13202,,,2004,"$11,824,444 ",$0 ,"$11,824,444 ",Industrial Development Agencies,Syracuse IDA,tax credit/rebate; property tax abatement,2800,,,"$680,000,000 ",unpublished data obtained by New York Jobs with Justice (now ALIGN: The Alliance for a Greater New York) from the New York State Comptroller's Office and the New York State Authorities Budget Office. ,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs figure is sum of original estimates of the number of jobs to be created and retained. The Investment Data figure is the total value of the project.,local,,$0 , ," ""real estate"""
Carousel Center Facility,Pyramid Companies,New York,Syracuse,Onondaga,Clinton Exchange 4 Clinton Square,13202,,,2005,"$8,263,559 ",$0 ,"$8,263,559 ",Industrial Development Agencies,Syracuse IDA,tax credit/rebate; property tax abatement,2800,,,"$680,000,000 ",unpublished data obtained by New York Jobs with Justice (now ALIGN: The Alliance for a Greater New York) from the New York State Comptroller's Office and the New York State Authorities Budget Office. ,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs figure is sum of original estimates of the number of jobs to be created and retained. The Investment Data figure is the total value of the project.,local,,$0 , ," ""real estate"""
PYRAMID COMPANY OF ONONDAGA,Pyramid Companies,New York,Syracuse,Onondaga,,,C734104  Oil City/Carousel Center-Phase,,2012,"$8,229,978 ",$0 ,"$8,229,978 ",Brownfield Cleanup Program Tax Credit,Department of Taxation and Finance,tax credit/rebate,,,,"$82,299,782 ",http://www.tax.ny.gov/research/stats/statistics/special_interest_reports/brownfield_credit/brownfield_credit_cy2013.htm,Subsidy value is total credit; investment amount is total of costs.,state,,$0 , ," ""real estate"""
Carousel Center Facility/DestiNY USA,Pyramid Companies,New York,Syracuse,,,,,,2008,"$5,592,228 ",$0 ,"$5,592,228 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,2800,,,"$785,000,000 ",spreadsheet posted by Office of the State Comptroller at http://www.osc.state.ny.us/localgov/pubs/research/idaprojects2008.xls,subsidy value is amount awarded; jobs and investment figures are projected,local,,$0 , ," ""real estate"""
Carousel Center Facility,Pyramid Companies,New York,Syracuse,Onondaga,Clinton Exchange 4 Clinton Square,13202,,,2003,"$4,705,787 ",$0 ,"$4,705,787 ",Industrial Development Agencies,Syracuse IDA,tax credit/rebate; property tax abatement,3200,,,"$265,000,000 ",unpublished data obtained by New York Jobs with Justice (now ALIGN: The Alliance for a Greater New York) from the New York State Comptroller's Office and the New York State Authorities Budget Office. ,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs figure is sum of original estimates of the number of jobs to be created and retained. The Investment Data figure is the total value of the project.,local,,$0 , ," ""real estate"""
Richfield Syracuse Hotel Project,,New York,SYRACUSE,,701-05 Genesee St E & Almond Ave,13210,"Renovations to former Renaissance Hotel. Salary information not gathered on this project. No PILOT only SIDA assistance is in the form of mortgage and sales tax exemptions, set to expire at the end of 2011 per J. Delaney of ED office. Property does have a preexisting 485e exemption.",,2011,"$3,699,751 ",$0 ,"$3,699,751 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,,,,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. ,local,,$0 , ," """""
Carousel Center Facility/DestiNY USA,Pyramid Companies,New York,SYRACUSE,,4 Clinton Square,13202,Expand and improve shopping mall.  Salary information not gathered on this project.,,2013,"$3,494,514 ",$0 ,"$3,494,514 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,,,,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. See original source for jobs and wage information.,local,,$0 , ," ""real estate"""
"DESTINY USA HOLDINGS, LLC/PYRAMID COMPANY OF ONONDAGA",,New York,Syracuse,Onondaga,,,C734104 Oil City/Carousel Center-Phase 1,,2013,"$3,257,797 ",$0 ,"$3,257,797 ",Brownfield Cleanup Program Tax Credit,Department of Taxation and Finance,tax credit/rebate,,,,"$32,577,967 ",http://www.tax.ny.gov/research/stats/statistics/special_interest_reports/brownfield_credit/brownfield_credit_cy2014.htm,Year is tax year. Subsidy value is total credit; investment amount is total of costs.,state,,$0 , ," """""
