"OBJECTID_1","OBJECTID","NAME","OWNER","TOWN","CLASS","CART_CL","ACRES","TYPE","GlobalID","TAX_ID","TNT_NAME","Nhood","Quad","LUCODE","LandUse","StNum","StName","YEARB","PNUMBR","WARD","SBL","TAX_ID2","TAX_ID3","TAX_ID4","TAX_ID5","TAX_ID6","TAX_ID7","Area_sqmi","Softball","Hardball","Soccer","T","FC","HC","H","HS","RS","Pool","Playground","Fieldhouse","GolfClubho","Bathouse","Pool_Mec","IceRink","Storage","Ball_Bldg","Rink_Bldg","Picnic_S","Greenhouse","Amphitheat","Gazebo","Rec_Bldg","Council_Di","Shape_Leng","Shape_Area","Park_Type"
1,77,"Norwood Park","CITY OF SYRACUSE","DEWITT","CITY","MAJOR",8.57368055,"C","{64BCDE4A-DF90-43C1-B97F-6EC35BD7234C}",NA,NA,NA,NA,NA,NA,"244","TAFT AVE & BEACON RD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0133961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,3951.77226357,373459.877126,"Neighborhood"
2,130,"Onondaga Lake Park","ONONDAGA COUNTY","SYRACUSE","COUNTY","MINOR",35.78533,"O","{A67FCEF0-CAED-4257-A144-9A8F42718D1A}","31150011400000020010020000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0559134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2",8203.54492507,1558768.87326,"Community"
3,131,"White Oaks Park","CITY OF SYRACUSE","SYRACUSE","CITY","MINOR",3.94977945,"C","{78736349-CBCD-4DB9-BD12-9FF47000E3C8}","31150011700000080080010000","Lakefront","Franklin Square","NW","652","Community Services","412","SPENCER ST TO ONONDAGA CR","1900","0285101101","02","117.-08-08.1",NA,NA,NA,NA,NA,NA,0.00616968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2",2295.86339518,172000.182399,"Neighborhood"
4,132,"Franklin Square Park","CITY OF SYRACUSE","SYRACUSE","CITY","MINOR",0.75375872,"C","{BBFF3DC4-2239-4AA4-9620-FCC3B9570539}","31150011800000060070000000","Lakefront","Franklin Square","NW","591","Recreation","501","FRANKLIN ST N & PLUM ST","1989","0230002100","02","118.-06-07.0",NA,NA,NA,NA,NA,NA,0.00117772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2",771.719471616,32832.8506947,"DowntownParks"
5,133,"Plum St. Circle","CITY OF SYRACUSE","SYRACUSE","CITY","MINOR",0.54324829,"C","{BE1ADFEA-032C-4AFC-B05B-99A0D8ED0C5D}","31150011800000080050000000","Lakefront","Franklin Square","NW","330","Vacant Land","508","PLUM ST TO ONONDAGA CRK",NA,"0270002100","02","118.-08-05.0","31150011800000080060010000",NA,NA,NA,NA,NA,0.000848808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2",656.450158231,23663.3067363,"Median"
6,134,"Ashland Park","CITY OF SYRACUSE","SYRACUSE","CITY","MINOR",0.11395906,"C","{5CE105FC-A54A-456A-ACCC-45CDBD61974D}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000178058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1",337.865715931,4963.94482116,"Median"
7,135,"Schlosser Park","CITY OF SYRACUSE","SYRACUSE","CITY","MINOR",0.1009509,"C","{1AEE7BFA-E0DD-486D-B18D-96BC48D95972}",NA,NA,NA,NA,NA,NA,NA,"SALINA ST N, STATE ST N & LAUREL ST E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000157733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1",309.481325502,4397.31425037,"Median"
8,136,"NBT Bank Stadium","ONONDAGA COUNTY","SYRACUSE","COUNTY","MINOR",31.32740767,"O","{A5BFC61D-2650-401E-93F8-015950AA0CFB}","31150000100200020020000000","Northside","Lakefront","NW","521","Recreation","300","ALLIANCE BANK PKWY","1994","0101000300","01","001.2-02-02.0","31150000100200020180000000",NA,NA,NA,NA,NA,0.0489447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2",5257.64629104,1364495.63776,"Community"
9,137,"First Ward Cemetery","CITY OF SYRACUSE","SYRACUSE","CITY","MINOR",3.63813102,"C","{EDC2C2EE-8E0C-4F68-8A80-367D890C9645}","31150000300000150010000000","Northside","Washington Square","NW","695","Cemetery","500","SECOND NORTH ST & GRANT B","0000","0181003700","01","003.-15-01.0",NA,NA,NA,NA,NA,NA,0.00568445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2",1592.36820853,158472.815796,"OpenSpaceCemetary"
10,138,"Washington Square Park","CITY OF SYRACUSE","SYRACUSE","CITY","MINOR",3.01307037,"C","{A474B011-2042-44B2-81EC-D5983CC57385}","31150000200000110010000000","Northside","Washington Square","NW","963","Parks","101","WASHINGTON SQ","0000","0194100100","01","002.-11-01.0",NA,NA,NA,NA,NA,NA,0.00470782,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,"2",1449.11556207,131245.934133,"Neighborhood"
