OBJECTID,OID_,TAX_ID,Shape_Leng,FRONTFEET,DEPTH,ACRES,FFxDAcres,Shape_Acre,TAX_ID_1,SURA,SEIZB,TNT_NAME,Nhood,Quad,LUCODE,LandUse,Units,AmtDelinqu,TOTINT,YrsDelinqu,StNum,StName,Lvalue,Fvalue,CityTaxabl,STARS,STARC,STAR,YEARB,SALES,PNUMBR,WARD,SBL,CountyTXBL,SchoolTXBL,TOTSYR,TOTONO,INTSYR,INTONO,ACTRST,SENIOR_EXE,VET_EXEMPT
1,0,31150006500100020020000000,7697.61253191,698.03000000,1300.00000000,20.83000000,20.83193297,46.14282714,31150006500100020020000000,N, ,Valley,South Valley,SW,515,Recreation,0.00000000,0.00000000,0.00000000,0.00000000,2341,VALLEY DR TO DORWIN AVE,296400.00000000,410000.00000000,410000.00000000,410000.00000000,410000.00000000, ,1940, ,1393129100,13,065.1-02-02.0,410000.00000000,410000.00000000,0.00000000,0.00000000,0.00000000,0.00000000, , , 
2,0,31150006400000210010000000,2408.11196206,448.00000000,277.45000000,2.85000000,2.85348026,6.00066503,31150006400000210010000000,N, ,Valley,South Valley,SW,612,Schools,0.00000000,0.00000000,0.00000000,0.00000000,157-83,SPAULDING AVE TO ONONDAGA,118200.00000000,2752300.00000000,0.00000000,0.00000000,0.00000000, ,1954, ,1485100700,14,064.-21-01.0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000, , , 
3,0,31150006300000020010010000,8636.98997384,1100.00000000,1389.63000000,84.24000000,35.09166667,73.80608564,31150006300000020010010000,N, ,Valley,South Valley,SE,553,Recreation,0.00000000,0.00000000,0.00000000,0.00000000,455,LAFAYETTE RD,400000.00000000,815000.00000000,815000.00000000,815000.00000000,815000.00000000, ,1960, ,1450203301,14,063.-02-01.1,815000.00000000,815000.00000000,0.00000000,0.00000000,0.00000000,0.00000000, , , 
4,0,31150006300000010420000000,2645.04861416,198.67000000,1027.71000000,4.69000000,4.68721638,6.79809501,31150006300000010420000000,N, ,Valley,South Valley,SE,963,Parks,0.00000000,0.00000000,0.00000000,0.00000000,5559,SALINA ST S REAR,112800.00000000,112800.00000000,0.00000000,0.00000000,0.00000000, ,0000, ,1479031201,14,063.-01-42.0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000, , , 
5,0,31150006400000030010000000,5212.66538326,366.96000000,2436.52000000,20.53000000,20.52583515,18.81663707,31150006400000030010000000,N, ,Valley,South Valley,SE,963,Parks,0.00000000,0.00000000,0.00000000,0.00000000,5559,SALINA ST S & CONIFER DR,277700.00000000,277700.00000000,0.00000000,0.00000000,0.00000000, ,0000, ,1479031200,14,064.-03-01.0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000, , , 
6,0,31150006300000010210010000,1835.01837809,104.85000000,643.87000000,1.55000000,1.54981105,3.30105396,31150006300000010210010000,N, ,Valley,South Valley,SE,642,Community Services,0.00000000,0.00000000,0.00000000,0.00000000,228,LAFAYETTE RD TO SATURN DR,50000.00000000,500000.00000000,0.00000000,0.00000000,0.00000000, ,2004, ,1450201601,14,063.-01-21.1,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000, , , 
7,0,31150006500100020010000000,9948.40911618,100.00000000,190.00000000,0.44000000,0.43617998,32.58224005,31150006500100020010000000,N, ,Valley,South Valley,SW,963,Parks,0.00000000,0.00000000,0.00000000,0.00000000,100-12,MARION ST TO BROOKLEA DR,133000.00000000,183000.00000000,0.00000000,0.00000000,0.00000000, ,2002, ,1356300101,13,065.1-02-01.0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000, , , 
8,0,31150006500100010010000000,9994.38962140,702.00000000,2291.00000000,36.92000000,36.92107438,92.58085749,31150006500100010010000000,N, ,Valley,South Valley,SW,963,Parks,0.00000000,0.00000000,0.00000000,0.00000000,2000,VALLEY DR,150000.00000000,150000.00000000,0.00000000,0.00000000,0.00000000, , , ,1393125501,13,065.1-01-01.0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000, , , 
9,0,31150007000000070410000000,898.71263808,51.00000000,680.00000000,0.80000000,0.79614325,0.46283391,31150007000000070410000000,N, ,Valley,North Valley,SW,963,Parks,0.00000000,0.00000000,0.00000000,0.00000000,329,MILBURN DR,25000.00000000,25000.00000000,0.00000000,0.00000000,0.00000000, ,0000, ,1361102405,13,070.-07-41.0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000, , , 
10,0,31150006800000010100000000,1050.15404662,193.00000000,325.00000000,1.44000000,1.43996786,1.44482029,31150006800000010100000000,N, ,Valley,South Valley,SW,611,Community Services,0.00000000,0.00000000,0.00000000,0.00000000,4862-74,SALINA ST S,71300.00000000,863500.00000000,0.00000000,0.00000000,0.00000000, ,1965, ,1479024500,14,068.-01-10.0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000, , , 
