Summary level,Program label,Program,Sub-program,Name,Code,Subsidized units available,% Occupied,# Reported,% Reported,Average months since report,% moved in past year,Number of people per unit,Number of people: total,Rent per month ($$),Spending per month ($$),Household income per year,Household income per year per person,"% $1 - $4,999","% $5,000 - $9,999","% $10,000 - $14,999","% $15,000 - $19,999","% $20,000 or more",% Households where wages are major source of income,% Households where welfare is major source of income,% Households with other major sources of income,% of local median (Household income),% very low income,% extremely low income,% 2+ adults with children,% 1 adult with children,% female head,% female head with children,"% with disability, among Head, Spouse, Co-head, aged 61 years or less","% with disability, among Head, Spouse, Co-head, aged 62 years or older","% with disability, among all persons in households",% 24 years or less (Head or spouse),% 25 to 49 years (Head or spouse),% 51 to 60 (Head or spouse),% 62 or more (Head or spouse),% 85 or more (Head or spouse),% Minority,% Black,% Native American,% Asian or Pacific Islander,% Hispanic,Average months on waiting list,Average months since moved in,% with utility allowance,Average utility allowance $$,% 0 - 1 bedrooms:,% 2 bedrooms,% 3+ bedrooms,% Overhoused,% in poverty (Census tract),% minority (Census tract),% single family owners (Census tract),Congressional District,CBSA,PLACE,Latitude,Longitude,State,PHA Total Units,HA category
7,Public Housing,2,A,NY Albany County Census Tract 1 36001000100,36001000100,99,94,93,100,5,2,2.5,236,443,499,19106,7529,10,16,13,17,44,45,3,52,29,87,59,8,57,89,59,23,29,13,1,60,24,15,2,94,84,0,0,10,67,85,96,143,8,44,48,22,32,78,19,A,10580,01000,-1,-1,NY,-1,A
7,Public Housing,2,A,NY Albany County Census Tract 2 36001000200,36001000200,485,94,455,100,5,7,2,900,322,499,14766,7465,14,31,19,12,25,45,9,47,24,91,74,1,43,68,41,30,71,19,5,64,22,10,1,95,83,0,2,13,31,76,36,91,49,27,24,4,46,88,8,A,10580,01000,-1,-1,NY,-1,A
7,Public Housing,2,A,NY Albany County Census Tract 3 36001000300,36001000300,3,94,3,100,2,-4,-4,-4,-4,-4,-4,8139,-4,-4,-4,-4,-4,-4,-4,-4,44,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,100,-4,-4,-4,-4,-1,64,-4,-4,-4,-4,-4,-4,31,53,28,A,10580,01000,-1,-1,NY,-1,A
7,Public Housing,2,A,NY Albany County Census Tract 4.01 36001000401,36001000401,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,A,10580,01000,-1,-1,NY,-1,A
7,Public Housing,2,A,NY Albany County Census Tract 4.03 36001000403,36001000403,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,A,10580,01000,-1,-1,NY,-1,A
7,Public Housing,2,A,NY Albany County Census Tract 4.04 36001000404,36001000404,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,A,10580,01000,-1,-1,NY,-1,A
7,Public Housing,2,A,NY Albany County Census Tract 5.01 36001000501,36001000501,194,94,182,100,6,7,1,188,313,499,14501,14038,2,39,28,12,19,4,2,94,26,93,73,0,0,49,0,84,68,69,0,1,19,80,11,46,35,0,4,9,12,82,0,-1,100,0,0,0,35,51,12,A,10580,01000,-1,-1,NY,-1,A
7,Public Housing,2,A,NY Albany County Census Tract 5.02 36001000502,36001000502,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,A,10580,01000,-1,-1,NY,-1,A
7,Public Housing,2,A,NY Albany County Census Tract 6 36001000600,36001000600,4,94,4,100,7,-4,-4,-4,-4,-4,-4,5590,-4,-4,-4,-4,-4,-4,-4,-4,24,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,100,-4,-4,-4,-4,-1,76,-4,-4,-4,-4,-4,-4,47,60,8,A,10580,01000,-1,-1,NY,-1,A
7,Public Housing,2,A,NY Albany County Census Tract 7 36001000700,36001000700,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,A,10580,01000,-1,-1,NY,-1,A
