,Test_Type,Test.Year,Accountability.School,Test_Code,mean
1,NYS,2000,NA,ELA,672.4794255
2,NYS,2000,NA,MATH,656.6089965
3,NYS,2005,Bellevue Elementary School,ELA,638.5483871
4,NYS,2005,Bellevue Elementary School,MATH,645
5,NYS,2005,Clary Middle School,ELA,681.661597
6,NYS,2005,Clary Middle School,MATH,685.6395349
7,NYS,2005,Delaware Academy,ELA,647.9787234
8,NYS,2005,Delaware Academy,MATH,657.691358
9,NYS,2005,Dr. King Elementary School,ELA,629.6
10,NYS,2005,Dr. King Elementary School,MATH,626.5555556
11,NYS,2005,Dr. Weeks Elementary School,ELA,667.908046
12,NYS,2005,Dr. Weeks Elementary School,MATH,685.7222222
13,NYS,2005,Edward Smith Elementary School,ELA,656.3033708
14,NYS,2005,Edward Smith Elementary School,MATH,654.3707865
15,NYS,2005,Elmcrest Children's Center School,ELA,676.3157895
16,NYS,2005,Elmcrest Children's Center School,MATH,672.5217391
17,NYS,2005,Franklin Elementary School,ELA,642.3564356
18,NYS,2005,Franklin Elementary School,MATH,639.1171171
19,NYS,2005,Frazer Elementary School,ELA,661.2115385
20,NYS,2005,Frazer Elementary School,MATH,667.0149254
21,NYS,2005,Frazer Middle School,ELA,676.9312977
22,NYS,2005,Frazer Middle School,MATH,694.796875
23,NYS,2005,Grant Middle School,ELA,682.8684211
24,NYS,2005,Grant Middle School,MATH,698.123348
25,NYS,2005,Hughes Elementary School,ELA,631.2068966
26,NYS,2005,Hughes Elementary School,MATH,639.7
27,NYS,2005,Huntington Elementary School,ELA,642.5376344
28,NYS,2005,Huntington Elementary School,MATH,644.3370787
29,NYS,2005,Huntington Middle School,ELA,686.5882353
30,NYS,2005,Huntington Middle School,MATH,707.5846154
31,NYS,2005,Hurlbut W. Smith Elementary School,ELA,645.3770492
32,NYS,2005,Hurlbut W. Smith Elementary School,MATH,656.8111111
33,NYS,2005,Lemoyne Elementary School,ELA,635.1509434
34,NYS,2005,Lemoyne Elementary School,MATH,643.8653846
35,NYS,2005,Levy Middle School - CLOSED,MATH,710
36,NYS,2005,Lincoln Middle School,ELA,680.6881188
37,NYS,2005,Lincoln Middle School,MATH,693.55
38,NYS,2005,McCarthy at Beard School,ELA,657.2982456
39,NYS,2005,McCarthy at Beard School,MATH,665.106383
40,NYS,2005,McKinley - Brighton Elementary School,ELA,642.1428571
41,NYS,2005,McKinley - Brighton Elementary School,MATH,643.6901408
42,NYS,2005,Meachem Elementary School,ELA,657.3731343
43,NYS,2005,Meachem Elementary School,MATH,669.6666667
44,NYS,2005,Porter Elementary School,ELA,645.5692308
45,NYS,2005,Porter Elementary School,MATH,655.859375
46,NYS,2005,Roberts Elementary School,ELA,631.9324324
47,NYS,2005,Roberts Elementary School,MATH,643.5135135
48,NYS,2005,Roberts Middle School,ELA,689.1111111
49,NYS,2005,Roberts Middle School,MATH,710.9294118
50,NYS,2005,Salem Hyde Elementary School,ELA,648.125
51,NYS,2005,Salem Hyde Elementary School,MATH,655.8571429
52,NYS,2005,Seymour Dual Language Academy,ELA,628.3243243
53,NYS,2005,Seymour Dual Language Academy,MATH,639.6724138
54,NYS,2005,Van Duyn Elementary School,ELA,656.1458333
55,NYS,2005,Van Duyn Elementary School,MATH,663.84
56,NYS,2005,Webster Elementary School,ELA,656.4285714
57,NYS,2005,Webster Elementary School,MATH,665.7380952
58,NYS,2005,NA,ELA,643.7777778
59,NYS,2005,NA,MATH,643.3
60,NYS,2010,24,ELA,21
61,NYS,2010,24,MATH,21
62,NYS,2010,34,ELA,40
63,NYS,2010,34,MATH,69
64,NYS,2010,34,SCI,70
65,NYS,2010,40,ELA,9
66,NYS,2010,40,MATH,6
67,NYS,2010,40,SCI,22
68,NYS,2010,9,MATH,24.5
69,NYS,2010,9,SCI,77
70,NYS,2010,9,SS,35
71,NYS,2010,Bellevue Elementary School,ELA,655.2834225
72,NYS,2010,Bellevue Elementary School,MATH,665.8502674
73,NYS,2010,Bellevue Elementary School,SCI,78.88235294
74,NYS,2010,Bellevue Elementary School,SS,64.03636364
75,NYS,2010,Bellevue Middle School Academy at Shea- CLOSED,ELA,623
76,NYS,2010,Bellevue Middle School Academy at Shea- CLOSED,MATH,645.3333333
77,NYS,2010,Bellevue Middle School Academy at Shea- CLOSED,SCI,62
78,NYS,2010,Bellevue Middle School Academy at Shea- CLOSED,SS,49
79,NYS,2010,Blodgett Middle School - CLOSED,ELA,673.5
80,NYS,2010,Blodgett Middle School - CLOSED,MATH,671
81,NYS,2010,Clary Middle School,ELA,655.4649123
82,NYS,2010,Clary Middle School,MATH,659.1246377
83,NYS,2010,Clary Middle School,SCI,64.02654867
84,NYS,2010,Clary Middle School,SS,59.31304348
85,NYS,2010,Danforth Middle School,ELA,641.7528345
86,NYS,2010,Danforth Middle School,MATH,640.5626374
87,NYS,2010,Danforth Middle School,SCI,54.64
88,NYS,2010,Danforth Middle School,SS,50.16129032
89,NYS,2010,Delaware Academy,ELA,635.6976744
90,NYS,2010,Delaware Academy,MATH,645.4423963
91,NYS,2010,Delaware Academy,SCI,66.13333333
92,NYS,2010,Delaware Academy,SS,55.19736842
93,NYS,2010,Dr. King Elementary School,ELA,649.008547
94,NYS,2010,Dr. King Elementary School,MATH,658.7574468
95,NYS,2010,Dr. King Elementary School,SCI,65.06849315
96,NYS,2010,Dr. King Elementary School,SS,67.19178082
97,NYS,2010,Dr. Weeks Elementary School,ELA,649.7707182
98,NYS,2010,Dr. Weeks Elementary School,MATH,661.6174142
99,NYS,2010,Dr. Weeks Elementary School,SCI,73.56451613
100,NYS,2010,Dr. Weeks Elementary School,SS,64.95934959
